t,num_station,num_job,event_type
0,0,1,job start
0,1,1,job start
0,2,1,job start
0,3,1,job start
0,4,1,job start
2.517,2,1,job finish
2.722,4,1,job finish
3.149,3,1,job finish
3.149,4,2,job start
3.149,3,2,job start
3.525,0,1,job finish
3.525,0,2,job start
5.272,4,2,job finish
5.827,1,1,job finish
5.827,2,2,job start
5.827,1,2,job start
6.919,0,2,job finish
6.919,0,3,job start
7.019,3,2,job finish
7.019,4,3,job start
8.93,2,2,job finish
8.93,3,3,job start
9.636,0,3,job finish
9.636,0,4,job start
10.901,4,3,job finish
11.958,0,4,job finish
11.958,0,5,job start
13.634,3,3,job finish
13.634,4,4,job start
13.789,1,2,job finish
13.789,2,3,job start
13.789,1,3,job start
14.835,0,5,job finish
14.835,0,6,job start
16.492,4,4,job finish
17.135,2,3,job finish
17.135,3,4,job start
18.318,1,3,job finish
18.318,2,4,job start
18.318,1,4,job start
19.309,0,6,job finish
19.309,0,7,job start
21.138,2,4,job finish
21.353,3,4,job finish
21.353,4,5,job start
21.353,3,5,job start
22.007,1,4,job finish
22.007,2,5,job start
22.007,1,5,job start
23.39,4,5,job finish
24.168,2,5,job finish
24.327,3,5,job finish
24.327,4,6,job start
24.327,3,6,job start
24.724,0,7,job finish
24.724,0,8,job start
25.874,1,5,job finish
25.874,2,6,job start
25.874,1,6,job start
27.463,3,6,job finish
27.737,4,6,job finish
27.737,4,7,job start
28.42,2,6,job finish
28.42,3,7,job start
28.773,0,8,job finish
28.773,0,9,job start
31.394,3,7,job finish
32.093,4,7,job finish
32.093,4,8,job start
36.224,1,6,job finish
36.224,2,7,job start
36.224,1,7,job start
37.055,4,8,job finish
39.102,2,7,job finish
39.102,3,8,job start
39.901,1,7,job finish
39.901,2,8,job start
39.901,1,8,job start
41.458,3,8,job finish
41.458,4,9,job start
41.578,0,9,job finish
41.578,0,10,job start
41.958,2,8,job finish
41.958,3,9,job start
43.647,1,8,job finish
43.647,2,9,job start
43.647,1,9,job start
44.269,4,9,job finish
45.392,0,10,job finish
45.392,0,11,job start
46.257,1,9,job finish
46.257,1,10,job start
46.283,3,9,job finish
46.283,4,10,job start
48.103,2,9,job finish
48.103,3,10,job start
48.103,2,10,job start
48.378,4,10,job finish
51.088,2,10,job finish
51.562,0,11,job finish
51.562,0,12,job start
53.083,3,10,job finish
53.083,4,11,job start
53.083,3,11,job start
54.21,0,12,job finish
54.21,0,13,job start
55.378,1,10,job finish
55.378,2,11,job start
55.378,1,11,job start
55.597,4,11,job finish
56.592,0,13,job finish
56.592,0,14,job start
57.632,1,11,job finish
57.632,1,12,job start
57.858,2,11,job finish
57.858,2,12,job start
59.19,0,14,job finish
59.19,0,15,job start
60.357,2,12,job finish
61.482,1,12,job finish
61.482,2,13,job start
61.482,1,13,job start
63.078,0,15,job finish
63.078,0,16,job start
63.094,3,11,job finish
63.094,4,12,job start
63.094,3,12,job start
64.596,1,13,job finish
64.596,1,14,job start
65.271,2,13,job finish
65.271,2,14,job start
65.602,3,12,job finish
65.602,3,13,job start
66.142,4,12,job finish
66.142,4,13,job start
66.25,0,16,job finish
66.25,0,17,job start
67.37,2,14,job finish
67.623,1,14,job finish
67.623,2,15,job start
67.623,1,15,job start
69.476,4,13,job finish
69.553,3,13,job finish
69.553,4,14,job start
69.553,3,14,job start
69.835,2,15,job finish
70.641,1,15,job finish
70.641,2,16,job start
70.641,1,16,job start
72.599,4,14,job finish
73.65,2,16,job finish
73.93,3,14,job finish
73.93,4,15,job start
73.93,3,15,job start
74.591,0,17,job finish
74.591,0,18,job start
75.272,1,16,job finish
75.272,2,17,job start
75.272,1,17,job start
76.321,3,15,job finish
76.321,3,16,job start
76.857,4,15,job finish
76.857,4,16,job start
77.537,1,17,job finish
77.537,1,18,job start
77.726,2,17,job finish
77.726,2,18,job start
78.391,0,18,job finish
78.391,0,19,job start
79.182,3,16,job finish
79.182,3,17,job start
81.027,2,18,job finish
81.444,4,16,job finish
81.444,4,17,job start
81.568,3,17,job finish
81.568,3,18,job start
83.28,0,19,job finish
83.28,0,20,job start
84.011,3,18,job finish
84.011,3,19,job start
84.472,1,18,job finish
