t,B0,B1,B2,B3,B4,B5
1,4,0,0,0,0,0
2,5,0,0,0,0,0
3,5,0,0,1,0,0
4,5,0,0,0,1,0
5,5,0,0,0,1,0
6,5,0,0,0,0,1
7,4,0,0,0,1,1
8,5,0,0,0,0,2
9,5,0,0,0,0,2
10,4,1,0,0,0,2
11,5,0,0,0,0,3
12,5,0,0,0,0,3
13,5,0,0,0,0,3
14,5,0,0,0,0,3
15,4,1,0,0,0,3
16,5,0,0,0,0,3
17,5,0,0,0,0,3
18,5,0,0,0,0,4
19,5,0,0,0,0,4
20,5,0,0,0,0,5
21,4,0,0,1,0,5
22,5,0,0,1,0,5
23,5,0,0,0,0,5
24,5,0,0,0,0,5
25,5,0,0,0,0,5
26,5,0,0,0,0,6
27,5,0,0,0,0,6
28,5,0,0,0,0,6
29,4,0,0,0,0,6
30,5,0,0,0,0,7
31,4,1,0,0,0,7
32,5,1,0,0,0,7
33,5,0,0,0,0,7
34,4,1,0,0,0,8
35,5,1,0,0,0,8
36,5,1,0,0,0,8
37,4,2,0,0,0,8
38,5,2,0,0,0,8
39,5,1,0,0,0,8
40,5,1,0,0,0,8
41,5,1,0,0,0,9
42,4,2,0,0,0,9
43,5,1,1,0,0,9
44,4,2,1,0,0,9
45,5,2,1,0,0,9
46,5,2,1,0,0,9
47,4,3,1,0,0,9
48,5,2,1,0,0,9
49,4,3,1,0,0,9
50,5,3,1,0,0,9
51,5,2,1,1,0,9
52,5,2,1,1,0,9
53,4,2,2,1,0,9
54,5,2,1,1,0,9
55,5,2,1,1,0,9
56,5,1,2,1,0,9
57,4,2,2,0,1,9
58,5,2,2,0,1,9
59,5,2,1,1,1,9
60,4,2,2,1,0,10
61,5,2,2,1,0,10
62,5,2,1,1,1,10
63,4,2,2,1,1,10
64,5,2,1,2,0,11
65,5,1,2,2,0,11
66,5,1,2,2,0,11
67,4,2,2,1,1,11
68,5,1,3,1,1,11
69,4,2,3,1,1,11
70,5,2,2,2,0,12
71,5,1,3,2,0,12
72,5,1,2,2,0,13
73,5,1,2,2,0,13
74,4,2,2,2,0,13
75,5,2,2,1,1,13
76,5,2,2,1,1,13
77,4,3,2,1,1,13
78,5,2,2,1,1,14
79,5,2,2,1,1,14
80,5,2,2,1,1,14
81,4,3,1,2,1,14
82,5,2,2,2,1,14
83,4,3,2,2,1,14
84,5,3,2,1,1,15
85,5,3,2,1,1,15
86,4,4,1,2,1,15
87,5,4,1,1,2,15
88,4,5,0,2,2,15
89,5,4,1,2,2,15
90,5,4,1,2,1,16
91,5,4,1,2,1,16
92,4,4,2,1,2,16
93,5,4,2,1,2,16
94,4,5,2,1,2,16
95,5,4,2,2,2,16
96,5,4,2,2,1,17
97,4,5,2,2,1,17
98,5,4,3,2,1,17
99,5,4,3,2,0,18
100,4,5,2,3,0,18
101,5,5,2,3,0,18
102,5,5,2,3,0,19
103,5,5,1,4,0,19
104,5,5,1,4,0,19
105,5,5,0,5,0,19
106,5,5,0,5,0,19
107,4,5,1,4,0,19
108,5,5,1,4,0,19
109,5,5,0,5,0,19
110,4,5,1,5,0,19
111,5,5,1,5,0,19
112,5,5,1,5,0,19
113,4,5,1,5,1,19
114,5,5,1,5,1,19
115,5,5,1,5,0,20
116,4,5,2,5,0,20
117,5,5,2,5,0,20
118,5,5,2,5,0,21
119,5,5,2,5,0,21
120,5,5,2,5,0,21
121,5,5,1,5,0,21
122,5,5,1,5,0,21
123,4,5,2,5,0,22
124,5,5,2,5,0,22
125,5,5,2,5,0,22
126,4,5,2,5,0,22
127,5,5,2,5,0,22
128,5,5,2,5,0,22
129,4,5,3,5,0,23
130,5,5,2,5,0,23
131,5,5,2,5,0,23
132,5,4,3,5,0,23
133,5,4,3,5,0,24
134,4,5,2,5,0,24
135,5,5,2,5,0,24
136,4,5,3,5,0,24
137,5,5,2,5,1,24
138,5,5,2,5,1,24
139,5,5,2,5,1,24
140,5,5,2,5,0,25
141,5,5,2,5,0,25
142,5,5,1,5,0,26
143,5,5,1,5,0,26
144,5,5,1,5,0,26
145,5,5,1,5,0,26
146,5,5,0,5,1,26
147,5,5,0,5,0,27
148,5,5,0,5,1,27
149,4,5,0,5,1,27
150,5,5,0,5,1,27
151,5,5,0,5,2,27
152,5,5,0,5,2,27
153,4,5,0,5,1,28
154,5,5,0,5,1,28
155,5,5,0,5,0,29
156,4,5,1,4,1,29
157,5,5,0,5,0,30
158,5,5,0,5,0,30
159,5,5,0,5,0,30
