,S0,S1,S2,S3,S4,bottleneck
0,0.0,0.0,0.0,0.0,0.0,S0
1,1.0,1.0,1.0,1.0,1.0,S0
2,2.0,2.0,2.0,2.0,2.0,S0
3,3.0,3.0,3.0,3.0,3.0,S0
4,4.0,4.0,0.7759999999999998,0.613,4.0,S0
5,0.11300000000000043,0.11300000000000043,1.7759999999999998,1.613,0.7619999999999996,S2
6,1.1130000000000004,1.1130000000000004,2.776,2.613,1.7619999999999996,S2
7,2.1130000000000004,2.1130000000000004,3.776,0.32099999999999973,2.7619999999999996,S2
8,3.1130000000000004,3.1130000000000004,0.04999999999999982,1.3209999999999997,3.7619999999999996,S4
9,4.113,4.113,1.0499999999999998,2.3209999999999997,4.762,S4
10,5.113,5.113,2.05,3.3209999999999997,5.762,S4
11,6.113,6.113,3.05,4.321,6.762,S4
12,7.113,7.113,4.05,5.321,0.5429999999999993,S0
13,8.113,0.27500000000000036,5.05,6.321,1.5429999999999993,S0
14,9.113,1.2750000000000004,6.05,7.321,2.5429999999999993,S0
15,10.113,2.2750000000000004,7.05,0.9339999999999993,3.5429999999999993,S0
16,11.113,3.2750000000000004,8.05,1.9339999999999993,4.542999999999999,S0
17,12.113,0.9239999999999995,9.05,2.9339999999999993,5.542999999999999,S0
18,13.113,1.9239999999999995,10.05,3.9339999999999993,6.542999999999999,S0
19,14.113,2.9239999999999995,11.05,4.933999999999999,0.12300000000000111,S0
20,15.113,3.9239999999999995,12.05,5.933999999999999,1.123000000000001,S0
21,16.113,4.9239999999999995,13.05,6.933999999999999,2.123000000000001,S0
22,17.113,5.9239999999999995,14.05,7.933999999999999,3.123000000000001,S0
23,18.113,6.9239999999999995,15.05,8.934,0.7149999999999999,S0
24,19.113,7.9239999999999995,16.05,9.934,1.7149999999999999,S0
25,20.113,8.924,17.05,10.934,2.715,S0
26,21.113,9.924,18.05,11.934,3.715,S0
27,22.113,10.924,19.05,12.934,4.715,S0
28,23.113,11.924,20.05,13.934,5.715,S0
29,24.113,12.924,21.05,14.934,0.8850000000000016,S0
30,25.113,13.924,22.05,15.934,1.8850000000000016,S0
31,26.113,14.924,23.05,16.933999999999997,2.8850000000000016,S0
32,27.113,15.924,24.05,17.933999999999997,3.8850000000000016,S0
33,28.113,16.924,25.05,18.933999999999997,4.885000000000002,S0
34,29.113,17.924,26.05,19.933999999999997,5.885000000000002,S0
35,30.113,18.924,27.05,20.933999999999997,6.885000000000002,S0
36,31.113,19.924,28.05,21.933999999999997,7.885000000000002,S0
37,32.113,20.924,29.05,22.933999999999997,0.34599999999999653,S0
38,33.113,21.924,30.05,0.7389999999999972,1.3459999999999965,S0
39,34.113,22.924,31.05,1.7389999999999972,2.3459999999999965,S0
40,35.113,23.924,32.05,2.738999999999997,3.3459999999999965,S0
41,36.113,24.924,33.05,3.738999999999997,4.3459999999999965,S0
42,37.113,25.924,34.05,4.738999999999997,5.3459999999999965,S0
43,38.113,26.924,35.05,5.738999999999997,6.3459999999999965,S0
44,39.113,27.924,36.05,6.738999999999997,0.6700000000000017,S0
45,40.113,28.924,37.05,7.738999999999997,1.6700000000000017,S0
46,41.113,29.924,38.05,8.738999999999997,2.6700000000000017,S0
