t,num_station,num_job,event_type
0,0,1,job start
0,1,1,job start
0,2,1,job start
0,3,1,job start
0,4,1,job start
2.106,4,1,job finish
2.293,1,1,job finish
2.305,2,1,job finish
2.305,2,2,job start
3.104,3,1,job finish
3.104,4,2,job start
3.104,3,2,job start
3.531,0,1,job finish
3.531,1,2,job start
3.531,0,2,job start
5.635,2,2,job finish
6.064,1,2,job finish
6.064,2,3,job start
6.135,3,2,job finish
6.135,3,3,job start
8.641,4,2,job finish
8.641,4,3,job start
8.909,2,3,job finish
9.951,0,2,job finish
9.951,1,3,job start
9.951,0,3,job start
11.552,3,3,job finish
11.552,3,4,job start
12.033,0,3,job finish
12.033,0,4,job start
12.824,4,3,job finish
12.824,4,4,job start
14.88,4,4,job finish
14.926,3,4,job finish
14.926,4,5,job start
15.339,0,4,job finish
15.339,0,5,job start
17.474,1,3,job finish
17.474,2,4,job start
17.474,1,4,job start
17.69,0,5,job finish
17.69,0,6,job start
18.831,4,5,job finish
19.76,1,4,job finish
19.76,1,5,job start
20.658,0,6,job finish
20.658,0,7,job start
22.102,2,4,job finish
22.102,3,5,job start
22.102,2,5,job start
23.299,0,7,job finish
23.299,0,8,job start
25.994,2,5,job finish
26.159,3,5,job finish
26.159,4,6,job start
26.159,3,6,job start
28.563,0,8,job finish
28.563,0,9,job start
28.607,4,6,job finish
29.496,3,6,job finish
29.496,4,7,job start
31.606,0,9,job finish
31.606,0,10,job start
34.88,4,7,job finish
37.965,0,10,job finish
39.756,1,5,job finish
39.756,2,6,job start
39.756,1,6,job start
39.756,0,11,job start
42.023,1,6,job finish
42.023,1,7,job start
42.11,2,6,job finish
42.11,3,7,job start
42.11,2,7,job start
43.794,0,11,job finish
43.794,0,12,job start
44.394,2,7,job finish
46.216,0,12,job finish
50.705,1,7,job finish
50.705,2,8,job start
50.705,1,8,job start
50.705,0,13,job start
51.293,3,7,job finish
51.293,4,8,job start
51.293,3,8,job start
53.724,4,8,job finish
55.034,2,8,job finish
55.038,3,8,job finish
55.038,4,9,job start
55.038,3,9,job start
55.223,1,8,job finish
55.223,2,9,job start
55.223,1,9,job start
57.872,4,9,job finish
57.956,3,9,job finish
57.956,4,10,job start
60.132,0,13,job finish
60.132,0,14,job start
61.492,2,9,job finish
61.492,3,10,job start
62.85,1,9,job finish
62.85,2,10,job start
62.85,1,10,job start
63.165,4,10,job finish
63.82,3,10,job finish
63.82,4,11,job start
66.606,0,14,job finish
66.606,0,15,job start
68.054,1,10,job finish
68.054,1,11,job start
68.822,0,15,job finish
68.822,0,16,job start
69.285,2,10,job finish
69.285,3,11,job start
69.285,2,11,job start
69.386,4,11,job finish
71.472,1,11,job finish
71.472,1,12,job start
71.572,2,11,job finish
71.572,2,12,job start
71.838,3,11,job finish
71.838,4,12,job start
71.838,3,12,job start
74.229,3,12,job finish
74.31,1,12,job finish
74.31,1,13,job start
75.414,0,16,job finish
75.414,0,17,job start
75.563,4,12,job finish
75.563,4,13,job start
76.73,2,12,job finish
76.73,3,13,job start
76.73,2,13,job start
79.136,0,17,job finish
79.136,0,18,job start
81.339,2,13,job finish
82.565,4,13,job finish
83.676,1,13,job finish
83.676,2,14,job start
83.676,1,14,job start
84.899,3,13,job finish
84.899,4,14,job start
84.899,3,14,job start
87.236,2,14,job finish
88.499,1,14,job finish
88.499,2,15,job start
88.499,1,15,job start
88.568,4,14,job finish
90.487,3,14,job finish
90.487,4,15,job start
90.487,3,15,job start
90.743,2,15,job finish
91.905,1,15,job finish
91.905,2,16,job start
91.905,1,16,job start
93.316,4,15,job finish
93.822,3,15,job finish
93.822,4,16,job start
93.822,3,16,job start
94.873,2,16,job finish
97.071,4,16,job finish
98.117,0,18,job finish
98.117,0,19,job start
98.21,3,16,job finish
98.21,4,17,job start
98.21,3,17,job start
100.633,4,17,job finish
100.946,1,16,job finish
100.946,2,17,job start
100.946,1,17,job start
102.672,3,17,job finish
102.672,4,18,job start
104.597,1,17,job finish
104.597,1,18,job start
104.75,4,18,job finish
106.764,0,19,job finish
106.764,0,20,job start
107.274,1,18,job finish
107.274,1,19,job start
108.812,0,20,job finish
108.812,0,21,job start
