t,num_station,num_job,event_type
0,0,1,job start
0,1,1,job start
0,2,1,job start
0,3,1,job start
0,4,1,job start
2.311,1,1,job finish
2.514,3,1,job finish
4.161,2,1,job finish
4.161,3,2,job start
4.161,2,2,job start
4.289,0,1,job finish
4.289,1,2,job start
4.289,0,2,job start
6.951,3,2,job finish
7.097,1,2,job finish
7.174,2,2,job finish
7.174,3,3,job start
7.174,2,3,job start
7.672,4,1,job finish
7.672,4,2,job start
8.059,0,2,job finish
8.059,1,3,job start
8.059,0,3,job start
9.589,3,3,job finish
9.599,2,3,job finish
9.599,3,4,job start
10.698,0,3,job finish
10.698,0,4,job start
11.117,1,3,job finish
11.117,2,4,job start
11.117,1,4,job start
11.874,3,4,job finish
13.396,4,2,job finish
13.396,4,3,job start
14.383,1,4,job finish
14.795,2,4,job finish
14.795,3,5,job start
14.795,2,5,job start
14.813,0,4,job finish
14.813,1,5,job start
14.813,0,5,job start
16.503,4,3,job finish
16.503,4,4,job start
17.851,2,5,job finish
18.039,0,5,job finish
18.039,0,6,job start
18.283,1,5,job finish
18.283,2,6,job start
18.283,1,6,job start
20.42,2,6,job finish
20.609,3,5,job finish
20.609,3,6,job start
20.838,1,6,job finish
20.838,2,7,job start
23.515,4,4,job finish
23.515,4,5,job start
24.131,3,6,job finish
24.131,3,7,job start
26.537,0,6,job finish
26.537,1,7,job start
26.537,0,7,job start
26.607,4,5,job finish
26.607,4,6,job start
27.946,3,7,job finish
28.752,4,6,job finish
28.752,4,7,job start
28.945,2,7,job finish
28.945,3,8,job start
29.34,1,7,job finish
29.34,2,8,job start
31.345,0,7,job finish
31.345,1,8,job start
31.345,0,8,job start
31.562,2,8,job finish
31.641,4,7,job finish
31.641,4,8,job start
31.642,3,8,job finish
31.642,3,9,job start
34.007,4,8,job finish
34.007,4,9,job start
35.22,3,9,job finish
36.956,4,9,job finish
36.956,4,10,job start
37.232,1,8,job finish
37.232,2,9,job start
39.976,4,10,job finish
40.994,2,9,job finish
40.994,3,10,job start
42.711,0,8,job finish
42.711,1,9,job start
42.711,0,9,job start
45.327,0,9,job finish
45.327,0,10,job start
46.741,1,9,job finish
46.741,2,10,job start
46.741,1,10,job start
48.459,0,10,job finish
48.459,0,11,job start
49.675,1,10,job finish
49.675,1,11,job start
50.301,2,10,job finish
50.301,2,11,job start
51.609,0,11,job finish
51.609,0,12,job start
53.122,3,10,job finish
53.122,4,11,job start
53.122,3,11,job start
53.968,0,12,job finish
53.968,0,13,job start
54.294,2,11,job finish
55.835,4,11,job finish
57.195,3,11,job finish
57.195,4,12,job start
57.195,3,12,job start
59.121,0,13,job finish
59.121,0,14,job start
59.57,4,12,job finish
59.788,3,12,job finish
59.788,4,13,job start
63.629,0,14,job finish
63.629,0,15,job start
64.571,4,13,job finish
66.349,0,15,job finish
66.349,0,16,job start
67.752,1,11,job finish
67.752,2,12,job start
67.752,1,12,job start
68.617,0,16,job finish
68.617,0,17,job start
70.739,1,12,job finish
70.739,1,13,job start
70.784,0,17,job finish
70.784,0,18,job start
71.409,2,12,job finish
71.409,3,13,job start
71.409,2,13,job start
73.713,2,13,job finish
75.26,0,18,job finish
76.818,1,13,job finish
76.818,2,14,job start
76.818,1,14,job start
76.818,0,19,job start
78.542,3,13,job finish
78.542,4,14,job start
78.542,3,14,job start
79.786,1,14,job finish
79.786,1,15,job start
80.783,2,14,job finish
80.783,2,15,job start
81.906,3,14,job finish
81.906,3,15,job start
83.422,4,14,job finish
83.422,4,15,job start
84.022,1,15,job finish
84.022,1,16,job start
84.221,0,19,job finish
84.221,0,20,job start
84.945,2,15,job finish
84.945,2,16,job start
86.098,3,15,job finish
86.098,3,16,job start
86.799,4,15,job finish
86.799,4,16,job start
87.352,0,20,job finish
87.352,0,21,job start
87.465,1,16,job finish
87.465,1,17,job start
89.489,2,16,job finish
89.489,2,17,job start
89.981,1,17,job finish
89.981,1,18,job start
90.081,3,16,job finish
90.081,3,17,job start
91.139,4,16,job finish
91.139,4,17,job start
92.095,2,17,job finish
92.095,2,18,job start
93.24,4,17,job finish
93.369,1,18,job finish
93.369,1,19,job start
94.598,3,17,job finish
