t,num_station,num_job,event_type
0,0,1,job start
0,1,1,job start
0,2,1,job start
0,3,1,job start
0,4,1,job start
2.262,1,1,job finish
2.512,3,1,job finish
3.291,4,1,job finish
3.291,4,2,job start
3.739,2,1,job finish
3.739,3,2,job start
3.739,2,2,job start
4.357,0,1,job finish
4.357,1,2,job start
4.357,0,2,job start
6.085,3,2,job finish
6.515,0,2,job finish
6.515,0,3,job start
6.693,1,2,job finish
6.693,1,3,job start
6.855,2,2,job finish
6.855,3,3,job start
6.855,2,3,job start
8.617,0,3,job finish
8.617,0,4,job start
9.341,4,2,job finish
9.341,4,3,job start
9.519,1,3,job finish
9.519,1,4,job start
10.238,3,3,job finish
11.683,0,4,job finish
11.683,0,5,job start
11.96,4,3,job finish
11.96,4,4,job start
13.469,2,3,job finish
13.469,3,4,job start
13.469,2,4,job start
14.528,0,5,job finish
14.528,0,6,job start
15.304,1,4,job finish
15.304,1,5,job start
15.869,4,4,job finish
17.527,0,6,job finish
17.527,0,7,job start
18.534,2,4,job finish
18.534,2,5,job start
21.145,1,5,job finish
21.145,1,6,job start
21.606,0,7,job finish
21.606,0,8,job start
21.808,2,5,job finish
21.808,2,6,job start
23.035,3,4,job finish
23.035,4,5,job start
23.035,3,5,job start
24.089,2,6,job finish
24.259,1,6,job finish
24.259,2,7,job start
24.259,1,7,job start
26.816,3,5,job finish
26.816,3,6,job start
27.504,0,8,job finish
27.504,0,9,job start
30.113,2,7,job finish
30.397,1,7,job finish
30.397,2,8,job start
30.397,1,8,job start
30.869,3,6,job finish
30.869,3,7,job start
32.763,2,8,job finish
32.978,1,8,job finish
32.978,2,9,job start
32.978,1,9,job start
33.896,3,7,job finish
33.896,3,8,job start
33.977,4,5,job finish
33.977,4,6,job start
34.348,0,9,job finish
34.348,0,10,job start
35.258,1,9,job finish
35.258,1,10,job start
36.09,2,9,job finish
36.09,2,10,job start
36.395,3,8,job finish
36.395,3,9,job start
36.536,0,10,job finish
36.536,0,11,job start
36.932,4,6,job finish
36.932,4,7,job start
38.757,3,9,job finish
38.757,3,10,job start
39.598,0,11,job finish
39.598,0,12,job start
39.674,4,7,job finish
39.674,4,8,job start
40.29,1,10,job finish
40.29,1,11,job start
41.784,2,10,job finish
41.784,2,11,job start
43.136,3,10,job finish
43.136,3,11,job start
43.89,2,11,job finish
44.349,0,12,job finish
44.349,0,13,job start
44.555,4,8,job finish
44.555,4,9,job start
44.875,1,11,job finish
44.875,2,12,job start
44.875,1,12,job start
47.463,0,13,job finish
47.463,0,14,job start
47.847,3,11,job finish
47.847,3,12,job start
48.382,4,9,job finish
48.382,4,10,job start
49.527,1,12,job finish
49.527,1,13,job start
49.866,0,14,job finish
49.866,0,15,job start
50.293,3,12,job finish
50.812,4,10,job finish
50.812,4,11,job start
51.857,1,13,job finish
51.857,1,14,job start
51.939,2,12,job finish
51.939,3,13,job start
51.939,2,13,job start
52.695,0,15,job finish
52.695,0,16,job start
55.288,2,13,job finish
55.288,2,14,job start
55.988,0,16,job finish
55.988,0,17,job start
57.744,1,14,job finish
57.744,1,15,job start
57.927,2,14,job finish
57.927,2,15,job start
58.022,3,13,job finish
58.022,3,14,job start
59.068,4,11,job finish
59.068,4,12,job start
60.077,1,15,job finish
60.077,1,16,job start
61.627,0,17,job finish
61.627,0,18,job start
61.695,3,14,job finish
61.695,3,15,job start
61.801,2,15,job finish
61.801,2,16,job start
62.568,4,12,job finish
62.568,4,13,job start
64.708,0,18,job finish
64.708,0,19,job start
64.78,2,16,job finish
64.833,4,13,job finish
64.833,4,14,job start
65.052,3,15,job finish
65.052,3,16,job start
65.271,1,16,job finish
65.271,2,17,job start
65.271,1,17,job start
66.873,4,14,job finish
66.873,4,15,job start
67.1,0,19,job finish
67.1,0,20,job start
68.421,1,17,job finish
68.421,1,18,job start
68.89,3,16,job finish
68.89,3,17,job start
69.803,0,20,job finish
69.803,0,21,job start
70.544,4,15,job finish
70.544,4,16,job start
70.752,1,18,job finish
70.752,1,19,job start
71.175,2,17,job finish
71.175,2,18,job start
71.395,3,17,job finish
71.395,3,18,job start
73.939,4,16,job finish
73.939,4,17,job start
