,S0,S1,S2,S3,S4,bottleneck
0,0.0,0.0,0.0,0.0,0.0,S0
1,1.0,1.0,1.0,1.0,1.0,S0
2,2.0,2.0,2.0,2.0,2.0,S0
3,3.0,3.0,3.0,3.0,3.0,S0
4,4.0,4.0,0.6339999999999999,4.0,4.0,S0
5,0.266,0.266,1.634,0.3860000000000001,0.3860000000000001,S2
6,1.266,1.266,2.634,1.3860000000000001,1.3860000000000001,S2
7,2.266,2.266,3.634,2.386,2.386,S2
8,3.266,3.266,4.634,3.386,3.386,S2
9,4.266,4.266,0.9290000000000003,4.386,4.386,S3
10,5.266,5.266,1.9290000000000003,5.386,5.386,S3
11,6.266,6.266,0.20899999999999963,6.386,6.386,S3
12,7.266,7.266,1.2089999999999996,7.386,7.386,S3
13,8.266,0.1899999999999995,2.2089999999999996,8.386,8.386,S3
14,9.266,1.1899999999999995,3.2089999999999996,9.386,9.386,S3
15,10.266,2.1899999999999995,4.209,10.386,10.386,S3
16,11.266,3.1899999999999995,5.209,11.386,11.386,S3
17,12.266,4.1899999999999995,0.26599999999999824,12.386,12.386,S3
18,13.266,5.1899999999999995,1.2659999999999982,13.386,13.386,S3
19,14.266,6.1899999999999995,2.2659999999999982,14.386,0.01699999999999946,S3
20,15.266,7.1899999999999995,3.2659999999999982,15.386,1.0169999999999995,S3
21,16.266,0.5249999999999986,4.265999999999998,16.386,2.0169999999999995,S3
22,17.266,1.5249999999999986,5.265999999999998,17.386,3.0169999999999995,S3
23,18.266,2.5249999999999986,6.265999999999998,18.386,0.9570000000000007,S3
24,19.266,3.5249999999999986,0.2950000000000017,19.386,1.9570000000000007,S3
25,20.266,4.524999999999999,1.2950000000000017,20.386,2.9570000000000007,S3
26,21.266,0.7190000000000012,2.2950000000000017,21.386,3.9570000000000007,S3
27,22.266,1.7190000000000012,3.2950000000000017,22.386,4.957000000000001,S3
28,23.266,2.719000000000001,0.3949999999999996,23.386,5.957000000000001,S3
29,24.266,3.719000000000001,1.3949999999999996,24.386,0.23600000000000065,S3
30,25.266,4.719000000000001,2.3949999999999996,25.386,1.2360000000000007,S3
31,26.266,5.719000000000001,3.3949999999999996,26.386,2.2360000000000007,S3
32,27.266,6.719000000000001,4.395,27.386,3.2360000000000007,S3
33,28.266,7.719000000000001,5.395,28.386,4.236000000000001,S3
34,29.266,8.719000000000001,6.395,29.386,5.236000000000001,S3
35,30.266,9.719000000000001,7.395,30.386,6.236000000000001,S3
36,31.266,10.719000000000001,8.395,31.386,7.236000000000001,S3
37,32.266,0.8419999999999987,9.395,32.385999999999996,8.236,S3
38,33.266,1.8419999999999987,10.395,33.385999999999996,9.236,S3
39,34.266,2.8419999999999987,11.395,34.385999999999996,10.236,S3
40,35.266,3.8419999999999987,12.395,35.385999999999996,11.236,S3
41,36.266,4.841999999999999,0.27600000000000335,36.385999999999996,12.236,S3
42,37.266,5.841999999999999,1.2760000000000034,37.385999999999996,13.236,S3
43,38.266,6.841999999999999,2.2760000000000034,38.385999999999996,14.236,S3
44,39.266,7.841999999999999,3.2760000000000034,0.6989999999999981,15.236,S0
45,40.266,8.841999999999999,4.276000000000003,1.698999999999998,16.236,S0
