,S0,S1,S2,S3,S4,bottleneck
0,0.0,0.0,0.0,0.0,0.0,S0
1,1.0,1.0,1.0,1.0,1.0,S0
2,2.0,2.0,2.0,2.0,2.0,S0
3,3.0,3.0,3.0,3.0,3.0,S0
4,0.496,0.496,0.589,0.4780000000000002,4.0,S4
5,1.496,1.496,1.589,1.4780000000000002,5.0,S4
6,2.496,2.496,2.589,2.478,6.0,S4
7,3.496,3.496,3.589,3.478,7.0,S4
8,4.496,4.496,4.589,4.478,8.0,S4
9,5.496,5.496,0.8949999999999996,5.478,0.5150000000000006,S0
10,6.496,6.496,1.8949999999999996,6.478,1.5150000000000006,S0
11,7.496,7.496,2.8949999999999996,7.478,2.5150000000000006,S0
12,8.496,8.496,3.8949999999999996,8.478,3.5150000000000006,S0
13,9.496,9.496,4.895,9.478,4.515000000000001,S0
14,10.496,10.496,5.895,10.478,5.515000000000001,S0
15,11.496,11.496,0.2759999999999998,11.478,6.515000000000001,S0
16,12.496,12.496,1.2759999999999998,12.478,7.515000000000001,S0
17,13.496,13.496,2.276,13.478,8.515,S0
18,14.496,14.496,3.276,14.478,9.515,S0
19,15.496,15.496,4.276,0.4089999999999989,10.515,S0
20,16.496,0.0,5.276,1.408999999999999,11.515,S0
21,17.496,1.0,6.276,2.408999999999999,12.515,S0
22,18.496,2.0,7.276,3.408999999999999,13.515,S0
23,19.496,3.0,0.370000000000001,4.408999999999999,14.515,S0
24,20.496,4.0,1.370000000000001,5.408999999999999,15.515,S0
25,21.496,5.0,2.370000000000001,6.408999999999999,16.515,S0
26,22.496,6.0,0.2579999999999991,7.408999999999999,17.515,S0
27,23.496,7.0,1.2579999999999991,8.408999999999999,18.515,S0
28,24.496,0.6610000000000014,2.257999999999999,9.408999999999999,19.515,S0
29,25.496,1.6610000000000014,3.257999999999999,10.408999999999999,20.515,S0
30,26.496,2.6610000000000014,4.257999999999999,11.408999999999999,21.515,S0
31,27.496,3.6610000000000014,0.684000000000001,12.408999999999999,22.515,S0
32,28.496,4.661000000000001,1.684000000000001,13.408999999999999,23.515,S0
33,29.496,5.661000000000001,2.684000000000001,14.408999999999999,24.515,S0
34,30.496,6.661000000000001,3.684000000000001,15.408999999999999,25.515,S0
35,31.496,7.661000000000001,4.684000000000001,16.409,26.515,S0
36,32.496,8.661000000000001,0.554000000000002,17.409,27.515,S0
37,33.496,9.661000000000001,1.554000000000002,18.409,28.515,S0
38,34.496,10.661000000000001,2.554000000000002,19.409,29.515,S0
39,35.496,11.661000000000001,3.554000000000002,20.409,30.515,S0
40,36.496,12.661000000000001,4.554000000000002,21.409,31.515,S0
41,37.496,13.661000000000001,5.554000000000002,22.409,32.515,S0
42,38.496,14.661000000000001,0.6439999999999984,0.6700000000000017,33.515,S0
43,39.496,15.661000000000001,1.6439999999999984,1.6700000000000017,34.515,S0
44,40.496,16.661,2.6439999999999984,2.6700000000000017,35.515,S0
45,41.496,17.661,3.6439999999999984,3.6700000000000017,36.515,S0
46,42.496,18.661,4.643999999999998,4.670000000000002,37.515,S0
47,43.496,19.661,0.6689999999999969,0.7180000000000035,38.515,S0
48,44.496,20.661,1.668999999999997,1.7180000000000035,39.515,S0
