,S0,S1,S2,S3,S4,bottleneck
0,0.0,0.0,0.0,0.0,0.0,S0
1,1.0,1.0,1.0,1.0,1.0,S0
2,2.0,2.0,2.0,2.0,2.0,S0
3,3.0,3.0,3.0,3.0,3.0,S0
4,4.0,4.0,4.0,4.0,4.0,S0
5,0.8390000000000004,0.27200000000000024,5.0,5.0,5.0,S2
6,1.8390000000000004,1.2720000000000002,0.5899999999999999,0.5899999999999999,0.7839999999999998,S0
7,2.8390000000000004,2.2720000000000002,1.5899999999999999,1.5899999999999999,1.7839999999999998,S0
8,3.8390000000000004,3.2720000000000002,2.59,2.59,2.784,S0
9,4.839,4.272,3.59,3.59,3.784,S0
10,5.839,5.272,4.59,4.59,4.784,S0
11,6.839,6.272,0.5350000000000001,0.9260000000000002,5.784,S0
12,7.839,7.272,1.5350000000000001,1.9260000000000002,6.784,S0
13,8.839,8.272,2.535,2.926,7.784,S0
14,9.839,9.272,3.535,3.926,0.8330000000000002,S0
15,10.839,10.272,0.2970000000000006,4.926,1.8330000000000002,S0
16,11.839,11.272,1.2970000000000006,5.926,2.833,S0
17,12.839,12.272,2.2970000000000006,6.926,3.833,S0
18,13.839,13.272,3.2970000000000006,7.926,4.833,S0
19,14.839,14.272,4.297000000000001,8.926,5.833,S0
20,15.839,15.272,5.297000000000001,9.926,6.833,S0
21,16.839,16.272,6.297000000000001,10.926,7.833,S0
22,17.839,17.272,7.297000000000001,11.926,8.833,S0
23,18.839,18.272,8.297,12.926,0.05799999999999983,S0
24,19.839,19.272,9.297,13.926,1.0579999999999998,S0
25,20.839,20.272,10.297,14.926,2.058,S0
26,21.839,21.272,11.297,15.926,0.10800000000000054,S0
27,22.839,22.272,12.297,16.926000000000002,1.1080000000000005,S0
28,23.839,23.272,13.297,17.926000000000002,2.1080000000000005,S0
29,24.839,24.272,0.9400000000000013,18.926000000000002,3.1080000000000005,S0
30,25.839,25.272,1.9400000000000013,19.926000000000002,4.1080000000000005,S0
31,26.839,26.272,2.9400000000000013,20.926000000000002,5.1080000000000005,S0
32,27.839,27.272,3.9400000000000013,21.926000000000002,6.1080000000000005,S0
33,28.839,28.272,4.940000000000001,22.926000000000002,7.1080000000000005,S0
34,29.839,29.272,5.940000000000001,23.926000000000002,8.108,S0
35,30.839,30.272,6.940000000000001,0.8459999999999965,9.108,S0
36,31.839,31.272,0.796999999999997,1.8459999999999965,10.108,S0
37,32.839,32.272,1.796999999999997,2.8459999999999965,11.108,S0
38,33.839,33.272,2.796999999999997,3.8459999999999965,12.108,S0
39,34.839,34.272,3.796999999999997,4.8459999999999965,13.108,S0
40,35.839,35.272,4.796999999999997,5.8459999999999965,14.108,S0
41,36.839,36.272,5.796999999999997,6.8459999999999965,15.108,S0
42,37.839,37.272,6.796999999999997,7.8459999999999965,16.108,S0
43,38.839,38.272,7.796999999999997,0.6580000000000013,17.108,S0
44,39.839,39.272,8.796999999999997,1.6580000000000013,18.108,S0
45,40.839,40.272,9.796999999999997,2.6580000000000013,19.108,S0
46,41.839,41.272,10.796999999999997,3.6580000000000013,20.108,S0
47,42.839,42.272,11.796999999999997,4.658000000000001,21.108,S0
