t,B0,B1,B2,B3,B4,B5
1,4,0,0,0,0,0
2,5,0,0,0,0,0
3,4,1,0,0,0,0
4,5,1,0,1,0,0
5,5,1,0,0,1,0
6,4,1,0,0,1,0
7,5,1,0,0,0,1
8,4,1,1,0,0,1
9,5,1,1,0,0,1
10,5,1,0,1,0,1
11,5,1,0,1,0,1
12,5,1,0,1,0,2
13,5,0,1,1,0,2
14,4,1,1,0,0,2
15,5,1,1,0,0,2
16,4,2,1,0,0,2
17,5,1,1,0,0,3
18,5,1,1,0,0,3
19,4,2,1,0,0,3
20,5,2,1,0,0,4
21,5,2,1,0,0,4
22,5,2,0,1,0,4
23,4,2,1,1,0,4
24,5,2,1,1,0,4
25,5,1,2,1,0,4
26,5,1,1,1,0,4
27,4,2,1,1,0,4
28,5,2,1,1,0,4
29,5,2,1,1,0,4
30,5,1,2,0,1,4
31,5,1,1,1,0,5
32,4,2,1,1,0,5
33,5,2,1,0,1,5
34,5,2,0,1,1,5
35,4,3,0,1,1,5
36,5,2,0,2,1,5
37,5,2,0,2,1,5
38,5,2,0,2,1,5
39,4,3,0,2,0,6
40,5,3,0,2,1,6
41,5,2,0,2,0,7
42,5,2,0,2,0,7
43,5,2,0,2,0,7
44,5,2,0,1,1,7
45,5,1,1,1,1,7
46,4,2,1,1,0,8
47,5,2,0,2,0,8
48,5,1,1,2,0,8
49,5,1,1,2,0,9
50,5,1,1,2,0,9
51,4,2,1,1,0,9
52,5,2,0,2,0,9
53,5,2,0,2,0,9
54,5,2,0,2,0,9
55,4,2,0,3,0,9
56,5,2,0,2,0,10
57,5,2,0,2,0,10
58,4,3,0,1,1,10
59,5,3,0,1,1,10
60,4,3,1,1,0,11
61,5,3,0,2,0,11
62,5,3,0,2,0,11
63,5,3,0,3,0,12
64,5,3,0,3,0,12
65,4,4,0,2,0,12
66,5,4,0,2,0,12
67,4,5,0,2,0,12
68,5,5,0,1,0,13
69,5,5,0,1,0,13
70,5,5,0,1,0,13
71,5,5,0,0,0,14
72,5,5,0,0,0,14
73,5,5,0,0,0,14
74,5,5,0,0,0,14
75,4,5,0,0,0,14
76,5,5,0,0,0,14
77,5,5,0,0,0,14
78,5,4,1,0,0,14
79,5,4,1,0,0,15
80,5,4,1,0,0,15
81,5,3,1,0,0,15
82,5,3,1,0,0,15
83,4,4,1,0,0,16
84,5,3,2,0,0,16
85,5,3,1,1,0,16
86,4,4,1,0,0,16
87,5,4,1,0,0,16
88,5,3,2,0,0,16
89,4,4,1,0,1,16
90,5,3,2,0,1,16
91,5,3,2,0,1,16
92,5,3,2,0,1,16
93,5,3,2,0,0,17
94,5,3,1,1,0,17
95,5,3,1,1,0,18
96,5,3,1,0,0,18
97,5,3,1,0,0,18
98,5,2,2,0,0,18
99,4,3,1,1,0,18
100,5,3,1,1,0,18
101,5,3,1,1,0,18
102,5,2,2,1,0,18
103,5,2,1,1,1,18
104,4,3,1,1,1,18
105,5,3,0,1,1,19
106,5,2,1,1,1,19
107,4,3,1,1,1,19
108,5,3,0,1,1,20
109,5,3,0,1,1,20
110,5,3,0,1,1,20
111,5,3,0,2,1,20
112,5,3,0,2,1,20
113,5,2,0,2,1,20
114,5,2,0,2,0,21
115,4,2,1,2,0,21
116,5,2,0,2,0,22
117,5,2,0,2,0,22
118,5,2,0,3,0,23
119,5,2,0,3,0,23
120,5,2,0,3,0,23
121,4,3,0,3,0,23
122,5,2,0,3,0,23
123,5,2,0,3,0,23
124,4,3,0,3,0,23
125,5,3,0,3,0,23
126,4,3,1,3,0,23
127,5,3,1,2,0,23
128,5,2,2,2,0,23
129,4,3,1,3,0,23
130,5,3,1,3,0,23
131,5,3,1,3,0,23
132,5,2,2,3,0,23
133,5,2,2,2,1,23
134,5,2,2,2,1,23
135,5,1,3,2,0,24
136,4,2,2,3,0,24
137,5,2,2,3,0,24
138,5,2,2,3,0,25
139,4,2,2,4,0,25
140,5,2,2,4,0,25
141,5,2,2,3,0,25
142,5,1,2,4,0,25
143,5,1,2,4,0,26
144,5,1,2,3,0,26
145,5,1,2,3,0,26
146,5,1,1,4,0,26
147,4,2,1,4,0,26
148,5,1,2,3,1,26
149,5,1,2,3,0,27
150,5,1,2,3,0,27
151,4,1,3,3,0,28
152,5,1,2,4,0,28
153,5,1,2,3,0,28
154,4,2,2,3,0,28
155,5,1,2,4,0,28
156,5,1,2,3,1,28
157,4,2,2,3,1,28
158,5,1,3,2,1,29
159,5,1,3,2,1,29
