t,num_station,num_job,event_type
0,0,1,job start
0,1,1,job start
0,2,1,job start
0,3,1,job start
0,4,1,job start
2.492,0,1,job finish
2.492,0,2,job start
2.649,1,1,job finish
2.649,1,2,job start
3.222,2,1,job finish
3.222,2,2,job start
3.509,4,1,job finish
6.593,0,2,job finish
6.593,0,3,job start
7.036,1,2,job finish
7.036,1,3,job start
7.78,3,1,job finish
7.78,4,2,job start
7.78,3,2,job start
10.271,4,2,job finish
10.292,0,3,job finish
10.292,0,4,job start
10.723,2,2,job finish
10.723,2,3,job start
11.505,3,2,job finish
11.505,4,3,job start
11.505,3,3,job start
11.894,1,3,job finish
11.894,1,4,job start
14.064,3,3,job finish
14.367,4,3,job finish
14.367,4,4,job start
14.803,0,4,job finish
14.803,0,5,job start
15.131,2,3,job finish
15.131,3,4,job start
15.131,2,4,job start
17.047,1,4,job finish
17.047,1,5,job start
17.537,0,5,job finish
17.537,0,6,job start
17.584,4,4,job finish
19.227,2,4,job finish
19.227,2,5,job start
20.192,1,5,job finish
20.192,1,6,job start
21.818,0,6,job finish
21.818,0,7,job start
22.83,2,5,job finish
22.83,2,6,job start
22.871,1,6,job finish
22.871,1,7,job start
24.358,3,4,job finish
24.358,4,5,job start
24.358,3,5,job start
28.526,2,6,job finish
28.526,2,7,job start
28.637,0,7,job finish
28.637,0,8,job start
29.63,4,5,job finish
31.133,1,7,job finish
31.133,1,8,job start
33.592,0,8,job finish
33.592,0,9,job start
33.828,1,8,job finish
33.828,1,9,job start
33.853,2,7,job finish
33.853,2,8,job start
35.909,3,5,job finish
35.909,4,6,job start
35.909,3,6,job start
35.935,2,8,job finish
35.935,2,9,job start
36.226,0,9,job finish
36.226,0,10,job start
38.353,2,9,job finish
38.733,1,9,job finish
38.733,2,10,job start
38.733,1,10,job start
38.752,0,10,job finish
38.752,0,11,job start
39.192,4,6,job finish
39.461,3,6,job finish
39.461,4,7,job start
39.461,3,7,job start
41.6,4,7,job finish
41.673,0,11,job finish
41.673,0,12,job start
41.677,2,10,job finish
42.538,3,7,job finish
42.538,4,8,job start
42.538,3,8,job start
44.036,0,12,job finish
44.036,0,13,job start
46.024,1,10,job finish
46.024,2,11,job start
46.024,1,11,job start
46.269,0,13,job finish
46.269,0,14,job start
47.18,3,8,job finish
47.18,3,9,job start
49.364,1,11,job finish
49.364,1,12,job start
49.601,2,11,job finish
49.601,2,12,job start
50.066,3,9,job finish
50.066,3,10,job start
50.187,4,8,job finish
50.187,4,9,job start
52.138,0,14,job finish
52.138,0,15,job start
53.395,3,10,job finish
53.395,3,11,job start
53.742,4,9,job finish
53.742,4,10,job start
55.257,0,15,job finish
55.257,0,16,job start
55.552,1,12,job finish
55.552,1,13,job start
55.694,2,12,job finish
55.694,2,13,job start
58.298,0,16,job finish
58.298,0,17,job start
58.438,3,11,job finish
58.438,3,12,job start
58.57,4,10,job finish
58.57,4,11,job start
59.456,2,13,job finish
60.417,1,13,job finish
60.417,2,14,job start
60.417,1,14,job start
60.573,4,11,job finish
60.573,4,12,job start
61.473,0,17,job finish
61.473,0,18,job start
61.506,3,12,job finish
61.506,3,13,job start
62.749,1,14,job finish
62.749,1,15,job start
63.832,0,18,job finish
63.832,0,19,job start
65.566,2,14,job finish
65.566,2,15,job start
65.967,4,12,job finish
65.967,4,13,job start
66.291,3,13,job finish
66.291,3,14,job start
66.472,0,19,job finish
66.472,0,20,job start
68.71,3,14,job finish
68.71,3,15,job start
69.009,4,13,job finish
69.009,4,14,job start
70.183,0,20,job finish
70.952,2,15,job finish
71.314,4,14,job finish
71.314,4,15,job start
71.391,1,15,job finish
71.391,2,16,job start
71.391,1,16,job start
71.391,0,21,job start
73.541,4,15,job finish
74.515,1,16,job finish
74.515,1,17,job start
75.179,2,16,job finish
75.179,2,17,job start
75.391,0,21,job finish
75.391,0,22,job start
77.719,1,17,job finish
77.719,1,18,job start
78.292,2,17,job finish
78.292,2,18,job start
79.83,0,22,job finish
79.83,0,23,job start
80.341,2,18,job finish
80.766,3,15,job finish
80.766,4,16,job start
80.766,3,16,job start
81.175,1,18,job finish
81.175,2,19,job start
81.175,1,19,job start
