t,num_station,num_job,event_type
0,0,1,job start
0,1,1,job start
0,2,1,job start
0,3,1,job start
0,4,1,job start
2.344,3,1,job finish
2.488,0,1,job finish
2.488,0,2,job start
3.326,2,1,job finish
3.326,3,2,job start
3.538,4,1,job finish
3.538,4,2,job start
4.134,1,1,job finish
4.134,2,2,job start
4.134,1,2,job start
6.263,2,2,job finish
6.348,0,2,job finish
6.348,0,3,job start
6.83,3,2,job finish
6.83,3,3,job start
7.206,4,2,job finish
7.206,4,3,job start
8.435,0,3,job finish
8.435,0,4,job start
9.36,3,3,job finish
10.256,1,2,job finish
10.256,2,3,job start
10.256,1,3,job start
11.895,4,3,job finish
11.895,4,4,job start
12.811,2,3,job finish
12.811,3,4,job start
12.824,1,3,job finish
12.824,2,4,job start
12.824,1,4,job start
14.714,0,4,job finish
14.714,0,5,job start
15.098,2,4,job finish
15.401,4,4,job finish
16.017,1,4,job finish
16.017,2,5,job start
16.017,1,5,job start
17.398,3,4,job finish
17.398,4,5,job start
17.398,3,5,job start
18.893,0,5,job finish
18.893,0,6,job start
19.064,1,5,job finish
19.064,1,6,job start
20.167,3,5,job finish
20.928,4,5,job finish
20.928,4,6,job start
21.472,2,5,job finish
21.472,3,6,job start
21.472,2,6,job start
23.35,4,6,job finish
24.743,2,6,job finish
26.87,3,6,job finish
26.87,4,7,job start
26.87,3,7,job start
27.814,0,6,job finish
27.814,0,7,job start
29.745,3,7,job finish
29.924,0,7,job finish
29.924,0,8,job start
31.353,4,7,job finish
31.353,4,8,job start
32.58,0,8,job finish
32.58,0,9,job start
35.665,0,9,job finish
35.665,0,10,job start
36.583,1,6,job finish
36.583,2,7,job start
36.583,1,7,job start
40.197,4,8,job finish
40.662,2,7,job finish
40.662,3,8,job start
41.042,0,10,job finish
41.042,0,11,job start
43.111,3,8,job finish
43.111,4,9,job start
43.192,1,7,job finish
43.192,2,8,job start
43.192,1,8,job start
45.234,2,8,job finish
45.234,3,9,job start
45.632,0,11,job finish
45.632,0,12,job start
47.246,4,9,job finish
48.368,1,8,job finish
48.368,2,9,job start
48.368,1,9,job start
49.391,0,12,job finish
49.391,0,13,job start
50.21,3,9,job finish
50.21,4,10,job start
52.332,2,9,job finish
52.332,3,10,job start
53.975,0,13,job finish
53.975,0,14,job start
55.524,3,10,job finish
56.504,0,14,job finish
58.044,4,10,job finish
58.044,4,11,job start
58.815,1,9,job finish
58.815,2,10,job start
58.815,1,10,job start
58.815,0,15,job start
60.285,4,11,job finish
61.408,2,10,job finish
61.408,3,11,job start
62.415,0,15,job finish
63.996,1,10,job finish
63.996,2,11,job start
63.996,1,11,job start
63.996,0,16,job start
64.506,3,11,job finish
64.506,4,12,job start
66.23,0,16,job finish
68.264,1,11,job finish
68.264,1,12,job start
68.264,0,17,job start
68.481,4,12,job finish
70.31,2,11,job finish
70.31,3,12,job start
70.31,2,12,job start
70.806,1,12,job finish
70.806,1,13,job start
71.226,0,17,job finish
71.226,0,18,job start
73.281,1,13,job finish
73.281,1,14,job start
75.246,0,18,job finish
75.246,0,19,job start
75.843,3,12,job finish
75.843,4,13,job start
77.538,2,12,job finish
77.538,3,13,job start
77.538,2,13,job start
78.045,0,19,job finish
78.409,1,14,job finish
78.409,1,15,job start
78.409,0,20,job start
79.925,3,13,job finish
80.051,4,13,job finish
80.051,4,14,job start
80.979,2,13,job finish
80.979,3,14,job start
80.979,2,14,job start
81.509,0,20,job finish
82.063,4,14,job finish
82.372,1,15,job finish
82.372,1,16,job start
82.372,0,21,job start
84.923,2,14,job finish
84.923,2,15,job start
85.337,3,14,job finish
85.337,4,15,job start
85.337,3,15,job start
87.148,0,21,job finish
87.354,2,15,job finish
87.354,2,16,job start
88.977,4,15,job finish
91.092,1,16,job finish
91.092,1,17,job start
91.092,0,22,job start
91.154,3,15,job finish
91.154,4,16,job start
91.154,3,16,job start
92.183,2,16,job finish
92.183,2,17,job start
93.497,0,22,job finish
93.728,3,16,job finish
93.728,3,17,job start
94.579,4,16,job finish
94.579,4,17,job start
96.888,3,17,job finish
97.444,4,17,job finish
97.444,4,18,job start
97.447,2,17,job finish
97.447,3,18,job start
