,S0,S1,S2,S3,S4,bottleneck
0,0.0,0.0,0.0,0.0,0.0,S0
1,1.0,1.0,1.0,1.0,1.0,S0
2,2.0,2.0,2.0,2.0,2.0,S0
3,0.4159999999999999,3.0,3.0,3.0,3.0,S1
4,1.416,0.35199999999999987,0.16500000000000004,4.0,4.0,S3
5,2.416,1.3519999999999999,1.165,5.0,5.0,S3
6,3.416,2.352,2.165,6.0,6.0,S3
7,4.416,3.352,3.165,7.0,7.0,S3
8,5.416,4.352,4.165,0.5810000000000004,0.5810000000000004,S0
9,6.416,5.352,5.165,1.5810000000000004,1.5810000000000004,S0
10,7.416,6.352,0.13400000000000034,2.5810000000000004,2.5810000000000004,S0
11,8.416,7.352,1.1340000000000003,3.5810000000000004,3.5810000000000004,S0
12,9.416,0.47499999999999964,2.1340000000000003,4.581,4.581,S0
13,10.416,1.4749999999999996,3.1340000000000003,5.581,5.581,S0
14,11.416,2.4749999999999996,4.134,6.581,6.581,S0
15,12.416,3.4749999999999996,5.134,7.581,7.581,S0
16,13.416,4.475,6.134,8.581,8.581,S0
17,14.416,5.475,7.134,9.581,9.581,S0
18,15.416,6.475,0.9920000000000009,10.581,10.581,S0
19,16.416,7.475,1.9920000000000009,11.581,11.581,S0
20,17.416,8.475,2.992000000000001,12.581,12.581,S0
21,18.416,9.475,3.992000000000001,13.581,13.581,S0
22,19.416,10.475,4.992000000000001,14.581,14.581,S0
23,20.416,11.475,5.992000000000001,15.581,15.581,S0
24,21.416,12.475,6.992000000000001,16.581,16.581,S0
25,22.416,13.475,7.992000000000001,17.581,17.581,S0
26,23.416,14.475,8.992,18.581,18.581,S0
27,24.416,15.475,9.992,19.581,19.581,S0
28,25.416,16.475,10.992,20.581,20.581,S0
29,26.416,17.475,11.992,21.581,21.581,S0
30,27.416,18.475,0.2749999999999986,22.581,22.581,S0
31,28.416,19.475,1.2749999999999986,23.581,23.581,S0
32,29.416,20.475,2.2749999999999986,24.581,24.581,S0
33,30.416,21.475,3.2749999999999986,0.35600000000000165,25.581,S0
34,31.416,22.475,0.06199999999999761,1.3560000000000016,26.581,S0
35,32.416,23.475,1.0619999999999976,2.3560000000000016,27.581,S0
36,33.416,24.475,2.0619999999999976,3.3560000000000016,28.581,S0
37,34.416,25.475,3.0619999999999976,4.356000000000002,29.581,S0
38,35.416,26.475,0.6760000000000019,5.356000000000002,30.581,S0
39,36.416,27.475,1.676000000000002,6.356000000000002,31.581,S0
40,37.416,28.475,2.676000000000002,7.356000000000002,32.581,S0
41,38.416,29.475,3.676000000000002,8.356000000000002,33.581,S0
42,39.416,30.475,4.676000000000002,9.356000000000002,34.581,S0
43,40.416,31.475,5.676000000000002,10.356000000000002,0.5829999999999984,S0
44,41.416,32.475,6.676000000000002,11.356000000000002,1.5829999999999984,S0
45,42.416,33.475,7.676000000000002,0.47399999999999665,2.5829999999999984,S0
46,43.416,34.475,8.676000000000002,1.4739999999999966,3.5829999999999984,S0
47,44.416,35.475,9.676000000000002,2.4739999999999966,4.582999999999998,S0
48,45.416,36.475,10.676000000000002,3.4739999999999966,5.582999999999998,S0
49,46.416,37.475,11.676000000000002,4.473999999999997,6.582999999999998,S0
