t,B0,B1,B2,B3,B4,B5
1,4,0,0,0,0,0
2,5,0,0,0,0,0
3,4,1,0,0,1,0
4,5,1,0,0,0,1
5,5,1,0,0,0,1
6,5,1,0,0,0,1
7,4,1,0,0,0,1
8,5,1,0,0,0,1
9,5,1,0,0,1,1
10,5,0,0,0,1,1
11,4,1,0,0,1,1
12,5,1,0,0,0,2
13,5,1,0,0,1,2
14,5,1,0,0,0,3
15,5,1,0,0,0,3
16,5,1,0,0,1,3
17,5,1,0,0,1,3
18,5,1,0,0,0,4
19,4,2,0,0,0,4
20,5,2,0,0,0,4
21,5,2,0,0,0,5
22,4,2,0,0,0,5
23,5,2,0,0,0,5
24,5,2,0,0,0,5
25,5,1,0,0,0,5
26,4,2,0,0,0,5
27,5,1,1,0,0,5
28,4,2,1,0,0,5
29,5,2,1,0,0,5
30,5,2,1,0,0,5
31,5,2,1,0,0,6
32,5,1,2,0,0,6
33,5,1,2,0,0,6
34,5,1,2,0,0,6
35,5,0,3,0,0,6
36,5,0,3,0,0,6
37,5,0,3,0,0,6
38,5,0,3,0,0,6
39,5,0,3,0,0,6
40,5,0,3,0,0,6
41,5,0,3,0,0,6
42,4,0,3,0,0,6
43,5,0,2,1,0,6
44,4,1,2,1,0,6
45,5,0,3,1,0,6
46,5,0,3,1,0,6
47,5,0,3,1,0,6
48,4,0,4,0,0,6
49,5,0,3,1,0,6
50,5,0,3,1,0,6
51,5,0,3,1,0,6
52,5,0,3,1,0,7
53,4,1,2,2,0,7
54,5,1,2,2,0,7
55,5,1,1,2,0,7
56,5,1,1,2,0,7
57,5,0,2,2,0,8
58,5,0,2,2,0,8
59,4,1,2,2,0,8
60,5,0,3,2,0,8
61,4,1,2,3,0,8
62,5,1,2,2,0,8
63,4,2,2,2,0,8
64,5,1,3,1,1,8
65,5,1,3,1,0,9
66,5,1,2,2,0,9
67,5,0,3,1,1,9
68,5,0,3,1,1,9
69,4,1,3,1,1,9
70,5,1,3,1,1,9
71,5,1,2,2,0,10
72,5,1,2,2,0,10
73,4,2,2,1,1,10
74,5,2,2,1,1,10
75,4,3,2,1,1,10
76,5,3,2,1,0,11
77,5,3,2,0,1,11
78,4,3,2,1,0,12
79,5,3,2,1,0,12
80,4,3,2,2,0,12
81,5,3,2,1,0,13
82,5,3,2,1,0,13
83,4,3,3,1,0,13
84,5,3,3,1,0,13
85,5,3,3,0,1,13
86,5,3,2,1,1,13
87,4,4,2,1,0,14
88,5,4,2,1,0,14
89,4,5,1,2,0,14
90,5,4,2,1,0,15
91,4,5,2,1,0,15
92,5,5,2,1,0,16
93,5,5,2,1,0,16
94,5,4,2,2,0,16
95,4,5,2,1,0,16
96,5,5,2,1,0,16
97,5,5,1,2,0,16
98,5,5,1,2,0,16
99,5,5,1,2,0,16
100,5,5,0,2,0,17
101,5,5,0,2,0,17
102,5,5,0,2,0,17
103,4,5,1,2,0,17
104,5,5,1,2,0,18
105,4,5,1,2,0,18
106,5,5,1,2,0,18
107,5,5,1,2,0,18
108,4,5,1,2,0,19
109,5,5,1,2,0,19
110,5,5,1,2,0,19
111,5,4,2,1,1,19
112,4,5,1,2,0,20
113,5,5,1,2,0,20
114,5,5,1,1,1,20
115,5,5,1,1,1,20
116,5,5,0,2,1,20
117,5,5,0,2,0,21
118,5,5,0,2,0,21
119,5,5,0,2,0,22
120,5,5,0,3,0,22
121,5,5,0,3,0,22
122,5,5,0,3,0,22
123,4,5,0,3,0,22
124,5,5,0,2,0,22
125,5,5,0,2,0,22
126,5,5,0,2,0,22
127,5,4,0,3,0,23
128,4,5,0,3,0,23
129,5,5,0,3,0,23
130,5,5,0,3,0,23
131,4,5,0,3,0,23
132,5,5,0,2,0,24
133,5,5,0,3,0,24
134,5,5,0,3,0,24
135,5,5,0,3,0,25
136,5,5,0,2,0,25
137,5,5,0,2,0,25
138,5,5,0,2,0,25
139,5,5,0,2,0,25
140,4,5,0,1,1,25
141,5,5,0,1,0,26
142,5,5,0,1,0,26
143,4,5,1,1,0,26
144,5,5,0,2,0,26
145,5,5,0,1,1,26
146,4,5,1,1,0,27
147,5,5,1,1,0,27
148,5,5,0,2,0,27
149,5,4,1,2,0,27
150,4,5,1,1,0,28
151,5,5,1,1,0,28
152,5,4,2,0,1,28
153,5,4,2,0,0,29
154,5,4,1,1,0,29
155,4,5,1,1,0,29
156,5,4,2,0,0,30
157,5,4,1,1,0,30
158,4,5,1,1,0,30
159,5,5,1,1,0,30
