t,num_station,num_job,event_type
0,0,1,job start
0,1,1,job start
0,2,1,job start
0,3,1,job start
0,4,1,job start
3.424,1,1,job finish
4.03,0,1,job finish
4.03,1,2,job start
4.03,0,2,job start
5.265,4,1,job finish
6.77,3,1,job finish
6.77,4,2,job start
6.861,2,1,job finish
6.861,3,2,job start
6.861,2,2,job start
6.942,0,2,job finish
6.942,0,3,job start
8.468,1,2,job finish
8.468,1,3,job start
9.08,2,2,job finish
9.08,2,3,job start
10.927,4,2,job finish
12.675,0,3,job finish
12.675,0,4,job start
12.794,3,2,job finish
12.794,4,3,job start
12.794,3,3,job start
15.297,1,3,job finish
15.297,1,4,job start
15.401,4,3,job finish
15.803,0,4,job finish
15.803,0,5,job start
16.12,3,3,job finish
16.12,4,4,job start
16.357,2,3,job finish
16.357,3,4,job start
16.357,2,4,job start
18.069,0,5,job finish
18.069,0,6,job start
19.22,4,4,job finish
19.58,1,4,job finish
19.58,1,5,job start
20.804,3,4,job finish
20.804,4,5,job start
21.052,2,4,job finish
21.052,3,5,job start
21.052,2,5,job start
21.998,0,6,job finish
21.998,0,7,job start
23.213,2,5,job finish
25.26,1,5,job finish
25.26,2,6,job start
25.26,1,6,job start
25.357,3,5,job finish
25.357,3,6,job start
25.687,4,5,job finish
25.687,4,6,job start
25.869,0,7,job finish
25.869,0,8,job start
27.629,3,6,job finish
27.9,2,6,job finish
27.9,3,7,job start
28.998,0,8,job finish
28.998,0,9,job start
29.499,1,6,job finish
29.499,2,7,job start
29.499,1,7,job start
31.626,3,7,job finish
31.667,0,9,job finish
31.667,0,10,job start
32.956,2,7,job finish
32.956,3,8,job start
33.369,1,7,job finish
33.369,2,8,job start
33.369,1,8,job start
35.268,4,6,job finish
35.268,4,7,job start
35.763,2,8,job finish
37.594,4,7,job finish
37.594,4,8,job start
37.834,3,8,job finish
37.834,3,9,job start
37.841,0,10,job finish
37.841,0,11,job start
38.114,1,8,job finish
38.114,2,9,job start
38.114,1,9,job start
40.481,1,9,job finish
40.481,1,10,job start
40.703,2,9,job finish
40.703,2,10,job start
40.911,0,11,job finish
40.911,0,12,job start
41.112,3,9,job finish
41.112,3,10,job start
43.2,2,10,job finish
43.862,3,10,job finish
43.862,3,11,job start
44.705,0,12,job finish
44.705,0,13,job start
45.057,1,10,job finish
45.057,2,11,job start
45.057,1,11,job start
47.326,4,8,job finish
47.326,4,9,job start
47.397,1,11,job finish
47.397,1,12,job start
48.202,0,13,job finish
48.202,0,14,job start
49.98,4,9,job finish
49.98,4,10,job start
50.546,2,11,job finish
50.546,2,12,job start
51.017,1,12,job finish
51.017,1,13,job start
53.194,3,11,job finish
53.194,3,12,job start
54.164,0,14,job finish
54.164,0,15,job start
54.524,1,13,job finish
54.524,1,14,job start
55.957,2,12,job finish
55.957,2,13,job start
57.369,0,15,job finish
57.369,0,16,job start
57.572,4,10,job finish
57.572,4,11,job start
57.98,2,13,job finish
57.98,2,14,job start
58.471,1,14,job finish
58.471,1,15,job start
59.421,3,12,job finish
59.421,3,13,job start
59.732,0,16,job finish
59.732,0,17,job start
60.565,2,14,job finish
60.565,2,15,job start
60.586,4,11,job finish
60.586,4,12,job start
61.837,3,13,job finish
61.837,3,14,job start
62.015,1,15,job finish
62.015,1,16,job start
63.139,0,17,job finish
63.139,0,18,job start
63.309,4,12,job finish
63.309,4,13,job start
64.257,3,14,job finish
64.257,3,15,job start
65.516,1,16,job finish
65.516,1,17,job start
66.035,0,18,job finish
66.035,0,19,job start
67.138,3,15,job finish
67.447,2,15,job finish
67.447,3,16,job start
67.447,2,16,job start
67.809,4,13,job finish
67.809,4,14,job start
70.014,2,16,job finish
70.014,2,17,job start
70.134,0,19,job finish
70.134,0,20,job start
71.019,1,17,job finish
71.019,1,18,job start
71.738,3,16,job finish
71.738,3,17,job start
72.128,2,17,job finish
72.128,2,18,job start
72.711,0,20,job finish
72.711,0,21,job start
72.926,4,14,job finish
72.926,4,15,job start
74.191,3,17,job finish
74.191,3,18,job start
74.751,0,21,job finish
74.751,0,22,job start
75.057,1,18,job finish
75.057,1,19,job start
75.067,2,18,job finish
75.067,2,19,job start
