t,num_station,num_job,event_type
0,0,1,job start
0,1,1,job start
0,2,1,job start
0,3,1,job start
0,4,1,job start
2.31,3,1,job finish
3.042,4,1,job finish
3.042,4,2,job start
3.045,0,1,job finish
3.045,0,2,job start
4.039,2,1,job finish
4.039,3,2,job start
5.597,0,2,job finish
5.597,0,3,job start
6.869,3,2,job finish
7.95,0,3,job finish
7.95,0,4,job start
8.738,4,2,job finish
8.738,4,3,job start
11.436,1,1,job finish
11.436,2,2,job start
11.436,1,2,job start
13.613,0,4,job finish
13.613,0,5,job start
14.666,2,2,job finish
14.666,3,3,job start
14.785,1,2,job finish
14.785,2,3,job start
14.785,1,3,job start
15.383,4,3,job finish
16.791,0,5,job finish
16.791,0,6,job start
17.585,1,3,job finish
17.585,1,4,job start
18.005,3,3,job finish
18.005,4,4,job start
19.013,0,6,job finish
19.013,0,7,job start
20.172,4,4,job finish
22.11,2,3,job finish
22.11,3,4,job start
22.11,2,4,job start
22.701,1,4,job finish
22.701,1,5,job start
23.301,0,7,job finish
23.301,0,8,job start
25.226,3,4,job finish
25.226,4,5,job start
25.297,1,5,job finish
25.297,1,6,job start
26.065,2,4,job finish
26.065,3,5,job start
26.065,2,5,job start
27.491,0,8,job finish
27.491,0,9,job start
27.733,4,5,job finish
28.298,2,5,job finish
28.298,2,6,job start
29.029,3,5,job finish
29.029,4,6,job start
29.029,3,6,job start
30.359,0,9,job finish
30.359,0,10,job start
31.323,1,6,job finish
31.323,1,7,job start
32.015,3,6,job finish
32.465,2,6,job finish
32.465,3,7,job start
32.465,2,7,job start
33.053,4,6,job finish
33.053,4,7,job start
33.756,0,10,job finish
33.756,0,11,job start
34.944,1,7,job finish
34.944,1,8,job start
35.333,4,7,job finish
35.423,2,7,job finish
35.423,2,8,job start
35.663,3,7,job finish
35.663,4,8,job start
35.663,3,8,job start
36.748,0,11,job finish
36.748,0,12,job start
38.023,3,8,job finish
38.376,2,8,job finish
38.376,3,9,job start
39.413,4,8,job finish
39.413,4,9,job start
39.612,0,12,job finish
39.612,0,13,job start
41.163,1,8,job finish
41.163,2,9,job start
41.163,1,9,job start
41.927,4,9,job finish
43.237,2,9,job finish
44.211,0,13,job finish
44.211,0,14,job start
45.429,3,9,job finish
45.429,4,10,job start
45.429,3,10,job start
47.901,3,10,job finish
48.396,0,14,job finish
48.675,4,10,job finish
48.675,4,11,job start
51.216,1,9,job finish
51.216,2,10,job start
51.216,1,10,job start
51.216,0,15,job start
53.37,2,10,job finish
53.37,3,11,job start
53.772,0,15,job finish
54.607,4,11,job finish
54.932,1,10,job finish
54.932,2,11,job start
54.932,1,11,job start
54.932,0,16,job start
57.433,2,11,job finish
57.864,3,11,job finish
57.864,4,12,job start
57.864,3,12,job start
58.636,1,11,job finish
58.636,2,12,job start
58.636,1,12,job start
59.303,0,16,job finish
59.303,0,17,job start
60.355,4,12,job finish
62.239,3,12,job finish
62.239,4,13,job start
62.619,2,12,job finish
62.619,3,13,job start
64.0,1,12,job finish
64.0,2,13,job start
64.0,1,13,job start
65.106,3,13,job finish
65.262,4,13,job finish
65.262,4,14,job start
67.166,1,13,job finish
67.166,1,14,job start
67.869,4,14,job finish
68.868,2,13,job finish
68.868,3,14,job start
68.868,2,14,job start
69.442,1,14,job finish
69.442,1,15,job start
69.668,0,17,job finish
69.668,0,18,job start
72.339,1,15,job finish
72.339,1,16,job start
75.33,0,18,job finish
75.33,0,19,job start
77.823,2,14,job finish
77.823,2,15,job start
78.18,3,14,job finish
78.18,4,15,job start
78.18,3,15,job start
79.093,1,16,job finish
79.093,1,17,job start
79.899,2,15,job finish
79.899,2,16,job start
80.478,4,15,job finish
81.25,3,15,job finish
81.25,4,16,job start
81.25,3,16,job start
82.489,0,19,job finish
82.489,0,20,job start
82.805,1,17,job finish
82.805,1,18,job start
82.906,2,16,job finish
82.906,2,17,job start
84.101,4,16,job finish
84.976,2,17,job finish
84.976,2,18,job start
85.029,3,16,job finish
85.029,4,17,job start
85.029,3,17,job start
85.715,0,20,job finish
85.715,0,21,job start
85.762,1,18,job finish
85.762,1,19,job start
87.901,4,17,job finish
88.307,0,21,job finish
