,S0,S1,S2,S3,S4,bottleneck
0,0.0,0.0,0.0,0.0,0.0,S0
1,1.0,1.0,1.0,1.0,1.0,S0
2,2.0,2.0,2.0,2.0,2.0,S0
3,0.24400000000000022,3.0,3.0,3.0,3.0,S1
4,1.2440000000000002,4.0,4.0,4.0,4.0,S1
5,2.244,5.0,5.0,5.0,0.34499999999999975,S1
6,3.244,0.3470000000000004,6.0,6.0,1.3449999999999998,S2
7,4.244,1.3470000000000004,0.8399999999999999,0.8399999999999999,2.3449999999999998,S0
8,5.244,2.3470000000000004,1.8399999999999999,1.8399999999999999,3.3449999999999998,S0
9,6.244,3.3470000000000004,2.84,2.84,0.005000000000000782,S0
10,7.244,4.347,3.84,3.84,1.0050000000000008,S0
11,8.244,5.347,4.84,4.84,2.005000000000001,S0
12,9.244,6.347,5.84,5.84,3.005000000000001,S0
13,10.244,7.347,6.84,6.84,4.005000000000001,S0
14,11.244,8.347000000000001,7.84,0.4969999999999999,5.005000000000001,S0
15,12.244,9.347000000000001,8.84,1.4969999999999999,6.005000000000001,S0
16,13.244,10.347000000000001,9.84,2.497,7.005000000000001,S0
17,14.244,11.347000000000001,10.84,3.497,8.005,S0
18,15.244,12.347000000000001,11.84,4.497,9.005,S0
19,16.244,13.347000000000001,12.84,5.497,0.09100000000000108,S0
20,17.244,14.347000000000001,13.84,6.497,1.091000000000001,S0
21,18.244,15.347000000000001,14.84,7.497,2.091000000000001,S0
22,19.244,16.347,15.84,8.497,3.091000000000001,S0
23,20.244,17.347,16.84,9.497,0.809000000000001,S0
24,21.244,18.347,17.84,10.497,1.809000000000001,S0
25,22.244,19.347,18.84,11.497,2.809000000000001,S0
26,23.244,20.347,19.84,12.497,0.40700000000000003,S0
27,24.244,21.347,20.84,13.497,1.407,S0
28,25.244,22.347,21.84,0.5850000000000009,2.407,S0
29,26.244,23.347,22.84,1.5850000000000009,3.407,S0
30,27.244,24.347,23.84,2.585000000000001,4.407,S0
31,28.244,25.347,24.84,3.585000000000001,5.407,S0
32,29.244,26.347,25.84,4.585000000000001,6.407,S0
33,30.244,27.347,26.84,5.585000000000001,7.407,S0
34,31.244,28.347,27.84,6.585000000000001,8.407,S0
35,32.244,29.347,28.84,7.585000000000001,0.4099999999999966,S0
36,33.244,30.347,29.84,8.585,1.4099999999999966,S0
37,34.244,31.347,30.84,9.585,2.4099999999999966,S0
38,35.244,32.347,31.84,10.585,3.4099999999999966,S0
39,36.244,33.347,32.84,11.585,4.409999999999997,S0
40,37.244,34.347,33.84,12.585,5.409999999999997,S0
41,38.244,35.347,34.84,13.585,6.409999999999997,S0
42,39.244,36.347,35.84,14.585,7.409999999999997,S0
43,40.244,37.347,36.84,0.12299999999999756,8.409999999999997,S0
44,41.244,38.347,37.84,1.1229999999999976,9.409999999999997,S0
45,42.244,39.347,38.84,2.1229999999999976,10.409999999999997,S0
46,43.244,40.347,39.84,3.1229999999999976,11.409999999999997,S0
47,44.244,41.347,40.84,4.1229999999999976,12.409999999999997,S0
48,45.244,42.347,41.84,5.1229999999999976,13.409999999999997,S0
49,46.244,43.347,42.84,6.1229999999999976,14.409999999999997,S0
