t,num_station,num_job,event_type
0,0,1,job start
0,1,1,job start
0,2,1,job start
0,3,1,job start
0,4,1,job start
2.515,4,1,job finish
3.42,0,1,job finish
3.42,0,2,job start
3.588,3,1,job finish
3.588,4,2,job start
3.606,2,1,job finish
3.606,3,2,job start
4.973,1,1,job finish
4.973,2,2,job start
4.973,1,2,job start
5.733,4,2,job finish
7.488,2,2,job finish
8.154,1,2,job finish
8.154,2,3,job start
9.089,0,2,job finish
9.089,1,3,job start
9.089,0,3,job start
9.485,3,2,job finish
9.485,4,3,job start
9.485,3,3,job start
11.877,1,3,job finish
12.217,4,3,job finish
13.614,2,3,job finish
13.614,2,4,job start
14.065,0,3,job finish
14.065,1,4,job start
14.065,0,4,job start
15.725,2,4,job finish
16.519,3,3,job finish
16.519,4,4,job start
16.519,3,4,job start
17.746,0,4,job finish
17.746,0,5,job start
17.966,1,4,job finish
17.966,2,5,job start
17.966,1,5,job start
18.674,4,4,job finish
19.109,3,4,job finish
19.109,4,5,job start
19.109,3,5,job start
20.322,1,5,job finish
20.689,2,5,job finish
20.689,2,6,job start
21.141,4,5,job finish
22.909,2,6,job finish
23.648,3,5,job finish
23.648,4,6,job start
23.648,3,6,job start
27.974,3,6,job finish
27.974,3,7,job start
30.456,0,5,job finish
30.456,1,6,job start
30.456,0,6,job start
32.465,0,6,job finish
32.465,0,7,job start
34.625,3,7,job finish
34.808,0,7,job finish
34.808,0,8,job start
36.308,4,6,job finish
36.308,4,7,job start
37.574,0,8,job finish
37.574,0,9,job start
37.598,1,6,job finish
37.598,2,7,job start
37.598,1,7,job start
38.91,4,7,job finish
38.91,4,8,job start
39.723,2,7,job finish
39.723,3,8,job start
42.582,1,7,job finish
42.582,2,8,job start
42.582,1,8,job start
42.688,3,8,job finish
42.7,0,9,job finish
42.7,0,10,job start
44.267,4,8,job finish
44.267,4,9,job start
44.75,0,10,job finish
44.75,0,11,job start
45.696,1,8,job finish
45.696,1,9,job start
46.27,4,9,job finish
48.59,2,8,job finish
48.59,3,9,job start
48.59,2,9,job start
50.002,0,11,job finish
50.002,0,12,job start
50.03,1,9,job finish
50.03,1,10,job start
51.138,3,9,job finish
51.138,4,10,job start
52.343,2,9,job finish
52.343,3,10,job start
52.343,2,10,job start
53.073,1,10,job finish
53.073,1,11,job start
53.452,4,10,job finish
54.114,0,12,job finish
54.114,0,13,job start
55.183,3,10,job finish
55.183,4,11,job start
55.792,1,11,job finish
55.792,1,12,job start
58.035,4,11,job finish
58.798,0,13,job finish
58.798,0,14,job start
59.31,1,12,job finish
59.31,1,13,job start
61.184,0,14,job finish
61.184,0,15,job start
62.306,1,13,job finish
62.306,1,14,job start
62.526,2,10,job finish
62.526,3,11,job start
62.526,2,11,job start
64.343,0,15,job finish
64.343,0,16,job start
65.028,3,11,job finish
65.028,4,12,job start
66.392,0,16,job finish
66.392,0,17,job start
66.637,2,11,job finish
66.637,3,12,job start
66.637,2,12,job start
68.521,0,17,job finish
68.521,0,18,job start
69.292,3,12,job finish
69.667,2,12,job finish
69.667,3,13,job start
69.667,2,13,job start
70.719,4,12,job finish
70.719,4,13,job start
71.921,0,18,job finish
71.921,0,19,job start
72.613,3,13,job finish
73.678,1,14,job finish
73.678,1,15,job start
74.38,0,19,job finish
74.38,0,20,job start
74.458,2,13,job finish
74.458,3,14,job start
74.458,2,14,job start
74.546,4,13,job finish
74.546,4,14,job start
76.943,1,15,job finish
76.943,1,16,job start
77.163,0,20,job finish
77.163,0,21,job start
78.171,2,14,job finish
78.171,2,15,job start
78.82,4,14,job finish
79.978,1,16,job finish
79.978,1,17,job start
80.913,3,14,job finish
80.913,4,15,job start
80.913,3,15,job start
81.596,2,15,job finish
81.596,2,16,job start
82.535,1,17,job finish
82.535,1,18,job start
82.802,0,21,job finish
82.802,0,22,job start
83.768,2,16,job finish
83.768,2,17,job start
83.998,4,15,job finish
85.435,3,15,job finish
85.435,4,16,job start
85.435,3,16,job start
85.861,1,18,job finish
85.861,1,19,job start
85.984,2,17,job finish
85.984,2,18,job start
88.248,0,22,job finish
88.248,0,23,job start
88.698,2,18,job finish
88.698,2,19,job start
