,S0,S1,S2,S3,S4,bottleneck
0,0.0,0.0,0.0,0.0,0.0,S0
1,1.0,1.0,1.0,1.0,1.0,S0
2,2.0,2.0,2.0,2.0,2.0,S0
3,0.17499999999999982,3.0,3.0,3.0,3.0,S1
4,1.1749999999999998,4.0,4.0,4.0,4.0,S1
5,2.175,5.0,5.0,0.6950000000000003,0.6950000000000003,S1
6,3.175,0.5899999999999999,0.5899999999999999,1.6950000000000003,1.6950000000000003,S0
7,4.175,1.5899999999999999,1.5899999999999999,2.6950000000000003,2.6950000000000003,S0
8,5.175,2.59,2.59,3.6950000000000003,3.6950000000000003,S0
9,6.175,3.59,3.59,4.695,4.695,S0
10,7.175,4.59,4.59,0.4939999999999998,5.695,S0
11,8.175,5.59,5.59,1.4939999999999998,6.695,S0
12,9.175,6.59,6.59,2.4939999999999998,7.695,S0
13,10.175,7.59,7.59,3.4939999999999998,8.695,S0
14,11.175,8.59,8.59,4.494,9.695,S0
15,12.175,9.59,9.59,5.494,10.695,S0
16,13.175,10.59,10.59,6.494,11.695,S0
17,14.175,11.59,11.59,7.494,12.695,S0
18,15.175,12.59,12.59,8.494,13.695,S0
19,16.175,13.59,13.59,9.494,14.695,S0
20,17.175,14.59,14.59,0.9050000000000011,15.695,S0
21,18.175,15.59,15.59,1.9050000000000011,16.695,S0
22,19.175,16.59,16.59,2.905000000000001,17.695,S0
23,20.175,0.370000000000001,17.59,3.905000000000001,18.695,S0
24,21.175,1.370000000000001,18.59,4.905000000000001,0.17099999999999937,S0
25,22.175,2.370000000000001,19.59,5.905000000000001,1.1709999999999994,S0
26,23.175,0.6679999999999993,20.59,6.905000000000001,2.1709999999999994,S0
27,24.175,1.6679999999999993,21.59,7.905000000000001,3.1709999999999994,S0
28,25.175,2.6679999999999993,22.59,8.905000000000001,4.170999999999999,S0
29,26.175,3.6679999999999993,23.59,9.905000000000001,0.6539999999999999,S0
30,27.175,4.667999999999999,24.59,10.905000000000001,1.654,S0
31,28.175,0.3309999999999995,25.59,11.905000000000001,2.654,S0
32,29.175,1.3309999999999995,26.59,12.905000000000001,3.654,S0
33,30.175,2.3309999999999995,27.59,13.905000000000001,4.654,S0
34,31.175,3.3309999999999995,28.59,14.905000000000001,5.654,S0
35,32.175,0.6460000000000008,29.59,15.905000000000001,6.654,S0
36,33.175,1.6460000000000008,30.59,16.905,7.654,S0
37,34.175,2.646000000000001,31.59,17.905,8.654,S0
38,35.175,3.646000000000001,32.59,18.905,9.654,S0
39,36.175,4.646000000000001,33.59,19.905,10.654,S0
40,37.175,0.24799999999999756,34.59,20.905,0.41199999999999903,S0
41,38.175,1.2479999999999976,35.59,21.905,1.411999999999999,S0
42,39.175,2.2479999999999976,36.59,22.905,2.411999999999999,S0
43,40.175,3.2479999999999976,37.59,23.905,0.6989999999999981,S0
44,41.175,4.2479999999999976,38.59,24.905,1.698999999999998,S0
45,42.175,5.2479999999999976,0.14699999999999847,25.905,2.698999999999998,S0
46,43.175,6.2479999999999976,1.1469999999999985,26.905,3.698999999999998,S0
47,44.175,7.2479999999999976,2.1469999999999985,27.905,4.698999999999998,S0
