,S0,S1,S2,S3,S4,bottleneck
0,0.0,0.0,0.0,0.0,0.0,S0
1,1.0,1.0,1.0,1.0,1.0,S0
2,2.0,2.0,2.0,2.0,2.0,S0
3,0.54,3.0,3.0,3.0,3.0,S1
4,1.54,4.0,4.0,4.0,4.0,S1
5,2.54,5.0,5.0,5.0,5.0,S1
6,3.54,6.0,6.0,6.0,6.0,S1
7,4.54,7.0,7.0,7.0,7.0,S1
8,5.54,8.0,8.0,8.0,8.0,S1
9,6.54,9.0,9.0,9.0,9.0,S1
10,7.54,0.9179999999999993,0.9179999999999993,0.45500000000000007,0.45500000000000007,S0
11,8.54,1.9179999999999993,1.9179999999999993,1.455,1.455,S0
12,9.54,2.9179999999999993,2.9179999999999993,2.455,2.455,S0
13,10.54,3.9179999999999993,3.9179999999999993,3.455,3.455,S0
14,11.54,4.917999999999999,0.7769999999999992,4.455,4.455,S0
15,12.54,5.917999999999999,1.7769999999999992,5.455,5.455,S0
16,13.54,6.917999999999999,2.7769999999999992,6.455,6.455,S0
17,14.54,7.917999999999999,3.7769999999999992,7.455,7.455,S0
18,15.54,8.918,4.776999999999999,8.455,8.455,S0
19,16.54,9.918,5.776999999999999,9.455,9.455,S0
20,17.54,10.918,6.776999999999999,10.455,10.455,S0
21,18.54,11.918,7.776999999999999,11.455,11.455,S0
22,19.54,12.918,8.777,12.455,12.455,S0
23,20.54,13.918,9.777,13.455,13.455,S0
24,21.54,14.918,10.777,14.455,14.455,S0
25,22.54,15.918,11.777,15.455,15.455,S0
26,23.54,16.918,12.777,16.455,0.4209999999999994,S0
27,24.54,17.918,13.777,17.455,1.4209999999999994,S0
28,25.54,18.918,14.777,18.455,2.4209999999999994,S0
29,26.54,19.918,15.777,19.455,3.4209999999999994,S0
30,27.54,20.918,16.777,20.455,4.420999999999999,S0
31,28.54,21.918,17.777,21.455,5.420999999999999,S0
32,29.54,22.918,18.777,22.455,6.420999999999999,S0
33,30.54,23.918,19.777,23.455,7.420999999999999,S0
34,31.54,24.918,20.777,24.455,8.421,S0
35,32.54,25.918,21.777,25.455,9.421,S0
36,33.54,26.918,22.777,26.455,10.421,S0
37,34.54,27.918,23.777,27.455,11.421,S0
38,35.54,28.918,24.777,28.455,12.421,S0
39,36.54,29.918,25.777,0.3609999999999971,13.421,S0
40,37.54,30.918,26.777,1.360999999999997,14.421,S0
41,38.54,31.918,27.777,2.360999999999997,15.421,S0
42,39.54,32.918,28.777,3.360999999999997,16.421,S0
43,40.54,33.918,29.777,4.360999999999997,17.421,S0
44,41.54,34.918,30.777,5.360999999999997,18.421,S0
45,42.54,35.918,31.777,6.360999999999997,19.421,S0
46,43.54,36.918,32.777,7.360999999999997,20.421,S0
47,44.54,37.918,33.777,8.360999999999997,21.421,S0
48,45.54,38.918,34.777,9.360999999999997,22.421,S0
49,46.54,39.918,35.777,10.360999999999997,23.421,S0
50,47.54,40.918,36.777,11.360999999999997,24.421,S0
51,48.54,41.918,37.777,12.360999999999997,25.421,S0
52,49.54,42.918,38.777,13.360999999999997,26.421,S0
53,50.54,43.918,39.777,14.360999999999997,27.421,S0
54,51.54,44.918,40.777,15.360999999999997,28.421,S0
