t,B0,B1,B2,B3,B4,B5
1,4,0,0,0,0,0
2,5,0,0,0,0,0
3,5,0,0,0,1,0
4,4,0,1,0,0,1
5,5,0,1,0,0,1
6,5,0,1,0,0,2
7,4,0,1,0,0,2
8,5,0,1,0,0,2
9,4,1,1,0,0,2
10,5,1,0,1,0,2
11,4,2,0,1,0,2
12,5,2,0,0,0,2
13,5,2,0,1,0,2
14,5,2,0,1,0,2
15,5,2,0,0,0,3
16,4,2,0,0,0,3
17,5,2,0,0,0,3
18,5,2,0,0,1,3
19,5,1,1,0,1,3
20,5,1,0,0,1,3
21,4,2,0,0,0,4
22,5,2,0,0,0,4
23,4,2,0,1,0,4
24,5,2,0,0,1,4
25,5,2,0,0,0,5
26,4,2,1,0,0,5
27,5,2,0,1,0,6
28,4,3,0,1,0,6
29,5,2,0,1,0,6
30,4,3,0,1,0,6
31,5,3,0,1,0,7
32,5,3,0,2,0,7
33,4,4,0,2,0,7
34,5,4,0,2,0,7
35,5,4,0,2,0,7
36,5,4,0,1,0,7
37,4,4,0,1,0,7
38,5,4,0,1,0,7
39,5,4,0,2,0,7
40,4,4,0,2,0,7
41,5,4,0,2,0,7
42,5,4,0,2,0,7
43,4,5,0,2,0,8
44,5,5,0,1,0,8
45,5,5,0,2,0,8
46,4,5,0,2,0,8
47,5,5,0,2,0,8
48,5,4,1,1,0,9
49,5,4,1,1,0,9
50,5,4,1,1,0,9
51,5,4,0,1,0,10
52,5,4,0,1,0,10
53,4,5,0,2,0,10
54,5,5,0,2,0,11
55,5,4,0,1,0,11
56,5,4,0,1,0,11
57,4,5,0,1,0,11
58,5,5,0,1,0,11
59,5,4,1,1,0,11
60,4,5,0,2,0,12
61,5,5,0,2,0,12
62,5,5,0,1,0,12
63,5,5,0,2,0,12
64,5,5,0,2,0,12
65,5,5,0,2,0,12
66,4,5,0,2,0,12
67,5,5,0,2,0,12
68,5,5,0,2,0,13
69,5,5,0,3,0,13
70,5,4,0,3,0,13
71,5,4,0,2,0,13
72,5,4,0,3,0,13
73,5,4,0,3,0,14
74,5,4,0,3,0,14
75,4,5,0,3,0,14
76,5,4,0,3,0,14
77,5,4,0,3,0,14
78,4,5,0,4,0,14
79,5,4,0,3,0,14
80,4,5,0,3,0,14
81,5,4,0,4,0,14
82,5,4,0,3,0,15
83,4,5,0,3,0,15
84,5,5,0,3,0,15
85,5,5,0,2,1,15
86,5,5,0,2,1,15
87,5,5,0,3,0,16
88,5,5,0,2,1,16
89,5,5,0,2,1,16
90,4,5,0,2,1,16
91,5,5,0,1,1,17
92,5,5,0,1,1,17
93,5,5,0,1,0,18
94,5,5,0,1,0,18
95,4,5,1,1,0,18
96,5,5,1,0,0,19
97,5,5,1,0,0,19
98,5,5,0,1,0,19
99,5,5,0,0,1,19
100,5,5,0,0,1,19
101,5,5,0,0,1,20
102,5,5,0,0,1,20
103,5,5,0,0,1,20
104,5,5,0,0,0,21
105,4,5,0,0,0,21
106,5,5,0,0,0,22
107,5,5,0,1,0,22
108,5,5,0,0,0,22
109,4,5,0,0,0,22
110,5,5,0,0,0,23
111,5,5,0,0,0,23
112,5,5,0,0,0,23
113,4,5,0,0,0,23
114,5,5,0,0,0,24
115,5,5,0,0,0,24
116,5,5,0,0,0,24
117,5,4,1,0,0,24
118,5,4,1,0,0,24
119,5,4,0,1,0,24
120,4,4,1,0,0,24
121,5,4,1,0,0,24
122,5,4,1,0,0,24
123,5,3,1,1,0,25
124,4,4,1,1,0,25
125,5,4,1,1,0,25
126,5,3,2,1,0,25
127,4,4,2,1,0,25
128,5,4,1,2,0,25
129,5,3,2,2,0,25
130,4,4,1,3,0,25
131,5,4,1,2,0,25
132,4,5,1,2,0,25
133,5,5,0,3,0,25
134,5,5,0,3,0,25
135,5,5,0,3,0,26
136,5,5,0,3,0,26
137,5,5,0,2,1,26
138,5,5,0,2,1,26
139,5,5,0,2,0,27
140,4,5,0,2,0,27
141,5,5,0,2,0,27
142,5,5,0,3,0,28
143,4,5,0,3,0,28
144,5,5,0,2,0,28
145,5,4,0,3,0,28
146,5,4,0,3,0,28
147,5,4,0,3,1,28
148,4,5,0,3,0,29
149,5,4,0,3,0,29
150,5,4,0,3,0,30
151,4,5,0,3,0,30
152,5,5,0,4,0,30
153,5,5,0,4,0,30
154,5,4,0,4,0,30
155,5,4,0,4,0,30
156,4,5,0,4,0,30
157,5,4,1,3,0,30
158,5,4,0,4,0,30
159,5,4,0,4,0,30
