t,num_station,num_job,event_type
0,0,1,job start
0,1,1,job start
0,2,1,job start
0,3,1,job start
0,4,1,job start
2.501,1,1,job finish
3.672,2,1,job finish
3.672,2,2,job start
4.507,0,1,job finish
4.507,1,2,job start
4.507,0,2,job start
6.944,0,2,job finish
6.944,0,3,job start
7.218,2,2,job finish
7.348,1,2,job finish
7.348,2,3,job start
7.348,1,3,job start
7.492,3,1,job finish
7.492,3,2,job start
9.068,0,3,job finish
9.068,0,4,job start
10.979,2,3,job finish
11.423,4,1,job finish
11.423,4,2,job start
13.127,0,4,job finish
13.127,0,5,job start
13.131,1,3,job finish
13.131,2,4,job start
13.131,1,4,job start
13.336,3,2,job finish
13.336,3,3,job start
15.704,0,5,job finish
15.704,0,6,job start
15.953,2,4,job finish
16.443,4,2,job finish
16.443,4,3,job start
17.088,3,3,job finish
17.088,3,4,job start
19.141,4,3,job finish
19.141,4,4,job start
20.048,0,6,job finish
20.048,0,7,job start
21.155,3,4,job finish
21.155,3,5,job start
21.282,1,4,job finish
21.282,2,5,job start
21.282,1,5,job start
22.695,4,4,job finish
22.695,4,5,job start
23.465,0,7,job finish
23.465,0,8,job start
23.742,1,5,job finish
23.742,1,6,job start
24.374,3,5,job finish
25.663,0,8,job finish
25.663,0,9,job start
26.527,2,5,job finish
26.527,3,6,job start
26.527,2,6,job start
27.014,1,6,job finish
27.014,1,7,job start
28.256,4,5,job finish
28.256,4,6,job start
29.607,2,6,job finish
29.607,2,7,job start
30.458,4,6,job finish
30.81,0,9,job finish
30.81,0,10,job start
31.331,1,7,job finish
31.331,1,8,job start
33.236,0,10,job finish
33.236,0,11,job start
33.894,1,8,job finish
33.894,1,9,job start
35.165,3,6,job finish
35.165,4,7,job start
35.165,3,7,job start
36.869,0,11,job finish
36.869,0,12,job start
37.149,2,7,job finish
37.149,2,8,job start
38.523,1,9,job finish
38.523,1,10,job start
38.751,4,7,job finish
38.917,0,12,job finish
38.917,0,13,job start
40.951,0,13,job finish
40.951,0,14,job start
41.547,1,10,job finish
41.547,1,11,job start
41.577,3,7,job finish
41.577,4,8,job start
41.577,3,8,job start
42.543,2,8,job finish
42.543,2,9,job start
43.374,0,14,job finish
43.374,0,15,job start
44.286,1,11,job finish
44.286,1,12,job start
44.925,4,8,job finish
45.771,0,15,job finish
45.771,0,16,job start
46.78,2,9,job finish
46.78,2,10,job start
48.611,0,16,job finish
48.611,0,17,job start
49.159,1,12,job finish
49.159,1,13,job start
49.268,3,8,job finish
49.268,4,9,job start
49.268,3,9,job start
49.567,2,10,job finish
49.567,2,11,job start
51.966,3,9,job finish
51.966,3,10,job start
52.576,4,9,job finish
52.576,4,10,job start
52.647,0,17,job finish
52.647,0,18,job start
52.783,2,11,job finish
52.783,2,12,job start
55.105,4,10,job finish
55.189,0,18,job finish
56.14,2,12,job finish
56.14,2,13,job start
56.936,1,13,job finish
56.936,1,14,job start
56.936,0,19,job start
59.002,3,10,job finish
59.002,4,11,job start
59.002,3,11,job start
60.083,2,13,job finish
60.083,2,14,job start
60.465,0,19,job finish
62.207,4,11,job finish
62.435,1,14,job finish
62.435,1,15,job start
62.435,0,20,job start
64.388,2,14,job finish
64.388,2,15,job start
64.744,3,11,job finish
64.744,4,12,job start
64.744,3,12,job start
65.83,1,15,job finish
65.83,1,16,job start
66.218,0,20,job finish
66.218,0,21,job start
66.865,4,12,job finish
68.96,0,21,job finish
69.285,1,16,job finish
69.285,1,17,job start
69.285,0,22,job start
69.606,2,15,job finish
69.606,2,16,job start
69.848,3,12,job finish
69.848,4,13,job start
69.848,3,13,job start
71.992,0,22,job finish
72.358,4,13,job finish
73.179,2,16,job finish
73.179,2,17,job start
76.036,1,17,job finish
76.036,1,18,job start
76.036,0,23,job start
76.332,2,17,job finish
76.332,2,18,job start
77.044,3,13,job finish
77.044,4,14,job start
77.044,3,14,job start
78.638,1,18,job finish
78.638,1,19,job start
79.327,3,14,job finish
79.327,3,15,job start
81.64,4,14,job finish
81.64,4,15,job start
82.483,3,15,job finish
82.483,3,16,job start
82.98,2,18,job finish
82.98,2,19,job start
83.984,4,15,job finish
83.984,4,16,job start
